Numero Zucchetta,Name of Bridge,Bridge Code,Year Constructed,Crossing River,Segment Code,Number of Islands on the North Side,Number of Islands on the South Side,Northern District,Southern Districts,Private,Civic,Civic Letter,Numero Campate,Arc Style Code,Arc Style,Construction Material Code,Construction Material,Decorations,Handicapped Accessible,Additional Handrail,Number of Steps North,Number of Steps South,Total Number of Steps,Height,Codice Materiale Alzata,Materiale Alzata,Pedata,Codice Materiale Pedata,Material Paving Steps,Minimum Step Width,Superficie Gradino Tipo (Min),Superficie Totale Gradini,Ipotenusa N,Ipotenusa S,Cateto N,Cateto S,Inclination N,Inclination S,Maximum Inclination,Summit Width,Summit Length,Area of Summit,Material Code of Summit,Flooring Material at Summit,Condition of Pavement at Summit,Description of the Condition of Pavement at Summit,Area of Pavement,Codice Tipologia Spalletta,Tipologia spalletta,Codice Materiale Spalletta,Materiale Spalletta,Larghezza Spalletta Est,Larghezza Spalletta Ovest,Larghezza Media Spallette,Altezza Media Spalletta,Width of River,Sporgenza N,Sporgenza S,Effective Lighting,Tide Level,Water Altitude,Freccia N1,Freccia C,Freccia S1,Freccia Minima,Freccia Media,Spessore N2,Spessore N1,Spessore C,Spessore S1,Spessore S2,Spessore Minimo,Photo Number of Arc,Photo Number of Ramp,Numero Foto Punto Quotato,H-N1,H-C,H-S1,SE-N2,SE-N1,SE-C,SE-S1,SE-S2,SI-N2,SI-N1,SI-C,SI-S1,SI-S2,Overall Width,Note:
174,Ponte de Quintavale,QUINTA,0,Canal de S. Piero,PIER2,102,103,CS,CS,No,,,5,2,Piano,4,Legno,,No,No,10,11,21,12,2,Pietra d'Istria,50,28,Trachite e Pietra d'Istria,3.08,1.54,29.26,5.2,5.6,0,0,0,0,0,3.98,53.1,211.34,4,Legno,1,Cattive,240.6,2,Vuoto Geometrico,4,Legno,9,9,9,90,54.91,20.81,23.82,54.4637,0.09,,0,0,0,3.07,3.08,0.52,0.52,0.52,0.53,0.53,52,H36,H35,,4.41,4.41,4.41,1.42,1.42,1.42,1.43,1.43,0.9,0.9,0.9,0.9,0.9,3.21,Le rampe di accesso sono in mattoni e pietra d'Istria.
175,Ponte S. Piero,PIERO,0,Canal de S. Piero,PIER2,101,102,CS,CS,No,,,5,7,Sesto Super Ribassato,6,Metallo,,No,No,8,7,15,12,2,Pietra d'Istria,50,28,Trachite e Pietra d'Istria,2.82,1.41,18.33,3.7,3.5,0,0,0,0,0,2.82,53.42,150.64,4,Legno,1,Cattive,168.97,2,Vuoto Geometrico,6,Metallo,4,4,4,88.4,52.66,20.44,20.76,52.248,-0.07,,0,0,0,3.23,3.25,0.63,0.5,0.47,0.5,0.63,47,H38,H37,,4.68,4.69,4.7,1.52,1.38,1.35,1.38,1.52,0.89,0.88,0.88,0.88,0.89,3.17,Le rampe di accesso sono in mattoni e pietra d'Istria. Presenza di passacavi in metallo all'esterno a nord-ovest.
176,Ponte Privato del Collegio Navale,ELEN_P1,0,Rio de S. Elena,ELEN,106,105,CS,CS,Yes,,,3,8,Trapezoidale,4,Legno,,Yes,No,,,,,,,,4,Legno,3.82,,,6.55,6.68,0,0,0,0,0,3.82,7.3,27.89,4,Legno,3,Buone,,2,Vuoto Geometrico,4,Legno,9,9,9,108.6,12.14,2.11,2.61,12.0928,0.45,,0,0,0,2.29,2.3,0.4,0.4,0.41,0.4,0.41,40,H18,H19,,3.34,3.34,3.34,1.48,1.49,1.5,1.49,1.49,1.08,1.09,1.09,1.09,1.08,4,Ponte a rampe senza scalini.
177,Ponte 1 delllo Stadio,STADIO1,0,Rio de S. Elena,ELEN,106,105,CS,CS,No,,,3,8,Trapezoidale,4,Legno,,Yes,No,,,,,,,,4,Legno,5.94,,,5.12,7.25,0,0,0,0,0,5.94,6.7,39.8,4,Legno,3,Buone,,2,Vuoto Geometrico,4,Legno,15,15,15,93,11.4,2.5,3.35,11.3415,0.43,,0,0,0,2.2,2.21,0.34,0.38,0.38,0.36,0.38,34,H16,H17,,3.08,3.09,3.09,1.26,1.31,1.32,1.3,1.3,0.92,0.93,0.94,0.94,0.92,6.25,Ponte a rampe oblique senza scalini.
178,Ponte 2 dello Stadio,STADIO2,0,Rio de S. Elena,ELEN,106,105,CS,CS,No,,,1,7,Sesto Super Ribassato,14,Mattoni e Pietra d'Istria,,Yes,No,,,,,,,,3,Trachite,5.21,,,7.6,7.95,0,0,0,0,0,5.21,3.35,17.45,3,Trachite,3,Buone,,3,Vuoto Decorato,6,Metallo,4,4,4,103.6,12.8,-1.4,-1.53,12.8293,0.4,,0,0,0,2.67,2.69,0.48,0.46,0.44,0.46,0.49,44,H14,H15,,3.77,3.82,3.77,1.51,1.5,1.48,1.5,1.52,1.03,1.04,1.04,1.04,1.03,6,"Ponte senza gradini, a rampa unica. La sommita' e' convessa."
179,Ponte 3 dello Stadio,STADIO3,0,Rio de S. Elena,ELEN,106,105,CS,CS,No,,,3,8,Trapezoidale,4,Legno,,Yes,No,,,,,,,,4,Legno,6.31,,,5.5,5.72,0,0,0,0,0,6.31,7,44.17,4,Legno,3,Buone,,2,Vuoto Geometrico,4,Legno,16,16,16,87,11.46,3.4,2.75,11.3985,0.35,,0,0,0,2.59,2.6,0.54,0.33,0.32,0.32,0.54,32,H11,H10,,3.44,3.44,3.44,1.41,1.2,1.19,1.19,1.41,0.87,0.87,0.87,0.87,0.87,6.61,Ponte senza gradini.
180,Ponte Privato và al civico 6104,PANA3_P1,0,Rio de la Panada,PANA3,70,65,CN,CN,Yes,,,1,4,Sesto Acuto,15,"Mattoni, Intonaco e Pietra d'Istria",,No,No,4,2,6,18,2,Pietra d'Istria,27.5,2,Pietra d'Istria,1.52,0.42,1.67,1.25,1.3,0,0,0,0,0,1.93,3.08,5.94,3,Trachite,2,Medie,7.62,1,Piena,15,"Mattoni, Intonaco e Pietra d'Istria",21.5,21.5,21.5,88.8,4.78,0,0,4.78,0.22,,0,0,0,1.77,1.85,1.2,0.58,0.4,0.51,0.84,40,F19,F20,,3,3.12,3,2.04,1.45,1.34,1.44,1.7,0.84,0.87,0.94,0.93,0.86,2.35,
181,Ponte de le Erbe,ERBE,0,Rio de la Panada,PANA3,70,65,CN,CN,No,,,1,7,Sesto Super Ribassato,14,Mattoni e Pietra d'Istria,,No,No,7,8,15,12,2,Pietra d'Istria,42.5,8,Asfalto,1.64,0.7,9.06,2.98,5.48,0,0,0,0,0,7.58,2.7,20.47,8,Asfalto,2,Medie,29.53,3,Vuoto Decorato,6,Metallo,4,4,4,92.8,5.83,0,0,5.83,0.24,,0,0,0,1.66,1.78,0.53,0.6,0.59,0.76,0.75,53,F17,F18,,3.08,3.1,3.08,1.5,1.5,1.48,1.66,1.73,0.97,0.9,0.89,0.9,0.98,7.96,
182,Ponte de la Panada,PANADA,0,Rio de la Panada,PANA2,61,65,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,Yes,8,10,18,13,2,Pietra d'Istria,40,3,Trachite,3.35,1.34,21.44,5.65,6.58,0,0,0,0,0,5.11,2.47,12.62,3,Trachite,3,Buone,34.06,1,Piena,14,Mattoni e Pietra d'Istria,28,42,35,95.4,4.63,0,0,4.63,0.55,,0,0,0,1.9,2.09,0.53,0.5,0.51,0.74,1.29,50,F4,F3,,3.05,3.05,3.05,1.5,1.4,1.42,1.7,2.32,0.97,0.9,0.91,0.96,1.03,5.92,?
183,Ponte Panada,PANAD2,0,Rio de la Panada,FNUO4,61,65,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,Yes,15,15,30,13.5,2,Pietra d'Istria,42,3,Trachite,4.96,2.08,58.33,9.18,9.27,0,0,0,0,0,4.96,4.88,24.2,3,Trachite,3,Buone,82.53,5,Mista,19,Metallo e Pietra d'Istria,28,28,28,83.6,8.76,20,20,8.36,0.57,,0,0,0,3.14,3.2,0.71,0.57,0.52,0.61,0.8,52,,F2,,4,4.08,4,1.59,1.39,1.36,1.43,1.62,0.88,0.82,0.84,0.82,0.82,5.65,
