Numero Zucchetta,Name of Bridge,Bridge Code,Year Constructed,Crossing River,Segment Code,Number of Islands on the North Side,Number of Islands on the South Side,Northern District,Southern Districts,Private,Civic,Civic Letter,Numero Campate,Arc Style Code,Arc Style,Construction Material Code,Construction Material,Decorations,Handicapped Accessible,Additional Handrail,Number of Steps North,Number of Steps South,Total Number of Steps,Height,Codice Materiale Alzata,Materiale Alzata,Pedata,Codice Materiale Pedata,Material Paving Steps,Minimum Step Width,Superficie Gradino Tipo (Min),Superficie Totale Gradini,Ipotenusa N,Ipotenusa S,Cateto N,Cateto S,Inclination N,Inclination S,Maximum Inclination,Summit Width,Summit Length,Area of Summit,Material Code of Summit,Flooring Material at Summit,Condition of Pavement at Summit,Description of the Condition of Pavement at Summit,Area of Pavement,Codice Tipologia Spalletta,Tipologia spalletta,Codice Materiale Spalletta,Materiale Spalletta,Larghezza Spalletta Est,Larghezza Spalletta Ovest,Larghezza Media Spallette,Altezza Media Spalletta,Width of River,Sporgenza N,Sporgenza S,Effective Lighting,Tide Level,Water Altitude,Freccia N1,Freccia C,Freccia S1,Freccia Minima,Freccia Media,Spessore N2,Spessore N1,Spessore C,Spessore S1,Spessore S2,Spessore Minimo,Photo Number of Arc,Photo Number of Ramp,Numero Foto Punto Quotato,H-N1,H-C,H-S1,SE-N2,SE-N1,SE-C,SE-S1,SE-S2,SI-N2,SI-N1,SI-C,SI-S1,SI-S2,Overall Width,Note:
223,Ponte Zancan,ZANCAN,0,Rio del Trapolin,TRAP,13,14,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,No,9,11,20,12,2,Pietra d'Istria,42,32,Pietra d'Istria e Asfalto,2.94,1.23,22.23,5.18,6.17,0,0,0,0,0,2.91,3.64,10.59,8,Asfalto,2,Medie,32.82,1,Piena,14,Mattoni e Pietra d'Istria,26,25,25.5,84.2,7.97,20,30,7.47,0.27,,0,0,0,2.22,2.26,0.63,0.5,0.42,0.54,0.65,42,ED30,D29,,3.26,3.27,3.3,1.52,1.3,1.2,1.35,1.58,0.89,0.8,0.78,0.81,0.93,3.42,
224,Ponte Storto,STORT4,0,Rio de S. Marcuola,MARC03,16,15,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,TRE SCUDI A NORD OVEST,No,Yes,14,14,28,11,2,Pietra d'Istria,43,32,Pietra d'Istria e Asfalto,0.68,0.29,7.6,7.2,7.09,0,0,0,0,0,1.77,2.31,4.09,8,Asfalto,2,Medie,11.69,1,Piena,14,Mattoni e Pietra d'Istria,27,27,27,89.8,6.52,20,20,6.12,-0.21,,0,0,0,2.6,2.69,0.59,0.44,0.41,0.47,0.46,41,E6,E7s,,4.24,4.24,4.21,1.47,1.43,1.24,1.32,1.4,0.88,0.99,0.83,0.85,0.94,2.31,
225,Ponte de l'Anconeta,ANCONE,0,Rio de S. Marcuola,MARC01,15,16,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,No,11,12,23,12,2,Pietra d'Istria,46,3,Trachite,2.8,1.29,27.05,6.46,6.76,0,0,0,0,0,2.77,2.56,7.09,3,Trachite,3,Buone,34.14,3,Vuoto Decorato,6,Metallo,3,3,3,94.8,5.23,0,90,4.33,-0.17,,0,0,0,2.06,2.3,1.57,0.81,0.39,0.51,0.73,39,E4,E5,,3.95,3.97,3.97,2.52,1.72,1.31,1.45,1.75,0.95,0.91,0.92,0.94,1.02,3.43,
226,Ponte S. Marziale,MARZIA,0,Rio de la Misericordia,MISE6,9,13,CN,CN,No,,,1,7,Sesto Super Ribassato,14,Mattoni e Pietra d'Istria,,No,No,13,12,25,13,2,Pietra d'Istria,41,3,Trachite,4.4,1.8,41.49,6.74,6.64,0,0,0,0,0,4.4,3.73,16.41,3,Trachite,4,Ottime,57.9,1,Piena,14,Mattoni e Pietra d'Istria,28,28,28,78.2,9.36,110,140,6.86,0.3,,0,0,0,2.36,2.4,0.76,0.65,0.59,0.63,0.71,59,D28,D27s,,3.45,3.47,3.46,1.59,1.39,1.31,1.39,1.57,0.83,0.74,0.72,0.76,0.86,4.96,Ponte in restauro quasi ultimato.
227,Ponte Privato và al civico 2601/A,MISE5_P1,0,Rio de la Misericordia,MISE5,9,12,CN,CN,Yes,2601,A,1,7,Sesto Super Ribassato,14,Mattoni e Pietra d'Istria,,No,No,11,8,19,12,2,Pietra d'Istria,56,28,Trachite e Pietra d'Istria,3.5,1.96,33.32,6.29,4.45,0,0,0,0,0,3.57,3.84,13.71,3,Trachite,2,Medie,47.03,1,Piena,14,Mattoni e Pietra d'Istria,28,28,28,80.6,13.54,70,70,12.14,0.43,,0,0,0,2.06,2.13,0.67,0.64,0.54,0.54,0.61,54,D19,D21,,3.05,3.06,3.03,1.5,1.42,1.3,1.33,1.48,0.83,0.78,0.76,0.79,0.87,4.06,Per ciascuna spalletta e' presente un tubo leggermente in rilievo.
228,Ponte de l'Aseo,ASEO,0,Rio de la Misericordia,MISE3,8,15,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,No,12,12,24,10,2,Pietra d'Istria,41,8,Asfalto,2.65,1.09,23.9,5.67,,0,0,0,0,0,3.09,3.18,9.83,8,Asfalto,1,Cattive,33.73,1,Piena,14,Mattoni e Pietra d'Istria,28,27,27.5,82.8,9.55,0,35,9.2,0.48,,0,0,0,2.18,2.24,0.53,0.53,0.49,0.51,0.54,49,D15,D20,,3.06,3.07,3.08,1.36,1.36,1.27,1.31,1.44,0.83,0.83,0.78,0.8,0.9,3.63,Ponte in restauro.
229,Ponte Loredan,LORED2,0,Rio de la Misericordia,MISE2,8,15,CN,CN,No,,,3,8,Trapezoidale,4,Legno,,No,Yes,11,11,22,16,13,Vuoto,44,4,Legno,2.95,1.3,25.96,4.72,4.73,0,0,0,0,0,2.97,7.27,21.59,4,Legno,2,Medie,47.55,2,Vuoto Geometrico,4,Legno,15,15,15,97,13.26,3.5,3.7,13.188,,,0,0,0,,,0.36,0.36,0.36,0.36,0.36,36,D5,D14s,,,,,1.33,1.33,1.33,1.33,1.33,0.97,0.97,0.97,0.97,0.97,3.3,"Il primo scalino della rampa nord e' in trachite e pietra d'Istria,Il primo scalino della rampa sud e' in trachite e pietra d'Istria. Canale in secca per lavori in corso, H non rilevabile."
230,Ponte dei Ormesini,ORMESI,0,Rio de la Misericordia,MISE2,8,15,CN,CN,No,,,1,7,Sesto Super Ribassato,14,Mattoni e Pietra d'Istria,,No,No,14,13,27,13,2,Pietra d'Istria,44,3,Trachite,2.32,1.02,25.52,9.2,9.2,0,0,0,0,0,5.13,5.13,26.32,3,Trachite,2,Medie,51.84,1,Piena,14,Mattoni e Pietra d'Istria,25,26,25.5,79.6,15.74,120,112,13.42,,,0,0,0,,,0.61,0.54,0.56,0.54,0.7,54,D1,D4,,,,,1.44,1.34,1.33,1.32,1.5,0.83,0.8,0.77,0.78,0.8,4.7,"Ponte in restauro, canale in secca, H non rilevabile."
231,Ponte del Gheto Novo,GHETON,0,Rio de la Misericordia,MISE1,8,11,CN,CN,No,,,1,8,Trapezoidale,6,Metallo,,No,No,15,15,30,12,6,Metallo,45,8,Asfalto,2.25,1.01,28.35,7.23,7.07,0,0,0,0,0,2.26,7.24,16.36,8,Asfalto,2,Medie,44.71,2,Vuoto Geometrico,6,Metallo,7,7,7,85.8,19.53,45,45,18.63,,,0,0,0,,,0.38,0.33,0.34,0.33,0.33,33,D3,C35,,,,,1.24,1.19,1.19,1.19,1.19,0.86,0.86,0.85,0.86,0.86,2.4,Sull'arco e sul corrimano est vi e' la scritta: Fonderia Veneta S.Rocco VE. Sull'arco e sul corrimano ovest vi e' la scritta:E.G. Neville e Co. 1865. Canale in secca H non rilevabile.
232,Ponte S. Girolamo,GIROLA,0,Rio de S. Girolamo,GIRO1,7,10,CN,CN,No,,,1,7,Sesto Super Ribassato,15,"Mattoni, Intonaco e Pietra d'Istria",,No,No,13,11,24,13,2,Pietra d'Istria,54,3,Trachite,4.26,2.3,50.61,7.31,5.98,0,0,0,0,0,4.27,3.46,14.77,3,Trachite,4,Ottime,65.38,1,Piena,14,Mattoni e Pietra d'Istria,28,28,28,107,14.29,0,0,14.29,-0.21,,0,0,0,2.41,2.48,0,0.68,0.58,0.71,0.78,0,C26,C30,,4.26,4.26,4.26,1.62,1.59,1.48,1.64,1.77,1.62,0.91,0.9,0.93,0.99,4.84,
233,Ponte de le Capuccine,CAPUZI,0,Rio de S. Girolamo,GIRO1,7,10,CN,CN,No,,,3,8,Trapezoidale,4,Legno,,No,Yes,11,11,22,17,13,Vuoto,45,4,Legno,2.45,1.1,22.05,4.54,4.77,0,0,0,0,0,2.44,5.8,14.15,4,Legno,2,Medie,36.2,2,Vuoto Geometrico,4,Legno,11,11,11,91.4,12.12,3.85,4.2,12.0395,-0.21,,0,0,0,2.55,2.56,0.28,0.29,0.29,0.29,0.29,28,C24,C25,,3.97,3.97,3.97,1.2,1.21,1.2,1.2,1.2,0.92,0.92,0.91,0.91,0.91,2.68,I primi scalini a nord e a sud sono in pietra d'Istria.
234,Ponte Moro,MORO2,0,Rio de Ca'Moro,MORO1,15,7,CN,CN,No,,,3,8,Trapezoidale,4,Legno,,No,Yes,11,12,23,15,13,Vuoto,50,4,Legno,2.88,1.44,30.24,5.69,6.04,0,0,0,0,0,2.88,12.3,35.42,4,Legno,2,Medie,65.66,2,Vuoto Geometrico,4,Legno,14,14,14,95,18,3.8,3.9,17.923,-0.21,,0,0,0,3.06,3.07,0.54,0.54,0.54,0.54,0.54,54,C20,C23,,4.77,4.76,4.77,1.49,1.49,1.49,1.49,1.49,0.95,0.95,0.95,0.95,0.95,3.2,I primi 4 gradini della rampa sud sono in trachite. Il primo gradino della rampa nord è in trachite.
235,Ponte Novo,NOV3,0,Rio del Batelo,BATE01,15,10,CN,CN,No,,,1,8,Trapezoidale,,,,No,No,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,13.38,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Ponte in legno lamellare in costruzione.
236,Ponte del Batelo,BATELO,0,Rio del Batelo,BATE01,10,15,CN,CN,No,,,2,10,Irregolare,4,Legno,,No,Yes,11,11,22,14,13,Vuoto,35,37,Trachite e Legno,1.6,0.56,11.2,4.18,3.88,0,0,0,0,0,1.6,5.55,8.88,4,Legno,2,Medie,20.08,2,Vuoto Geometrico,4,Legno,9,9,9,90,8.16,9,3.5,8.035,0.55,,0,0,0,2.49,2.49,0.31,0.32,0.32,0.32,0.32,31,D11,D10 s,,3.16,3.16,3.16,1.21,1.22,1.22,1.22,1.22,0.9,0.9,0.9,0.9,0.9,1.79,
237,Ponte Privato và al civico1104/C/D,BATE_P1,0,Rio del Batelo,BATE01,10,15,CN,CN,Yes,1104,C/D,1,2,Piano,6,Metallo,,No,No,0,9,9,17,2,Pietra d'Istria,35,2,Pietra d'Istria,2.02,0.71,4.95,,3.46,0,0,0,0,0,1.99,10.76,21.41,17,Legno e Metallo,3,Buone,26.36,2,Vuoto Geometrico,6,Metallo,3.5,3.5,3.5,96,9.46,0,0,9.46,0.55,,0,0,0,2.46,2.46,0.27,0.27,0.27,0.27,0.27,27,D12,D13 s,,3.14,3.14,3.14,1.23,1.23,1.23,1.23,1.23,0.96,0.96,0.96,0.96,0.96,2.03,Non esiste la rampa nord.
238,Ponte del Gheto Vechio,GHETOV,0,Rio del Ghetto Novo,GHET01,11,15,CN,CN,No,,,1,2,Piano,17,Legno e Metallo,,No,No,9,8,17,13,2,Pietra d'Istria,40,3,Trachite,2,0.8,12,3.77,3.29,0,0,0,0,0,2.14,9,19.26,4,Legno,2,Medie,31.26,2,Vuoto Geometrico,6,Metallo,4,4,4,79.8,7.67,0,0,7.67,0.04,,0,0,0,2.19,2.21,0.28,0.28,0.27,0.28,0.28,27,,C19,,3.24,3.26,3.23,1.08,1.08,1.06,1.08,1.08,0.8,0.8,0.79,0.8,0.8,2.21,Rampe in trachite. Sommità in legno e ferro.
239,Ponte del Gheto Novissimo,GHETONS,0,Rio del Ghetto Novo,GHET01,11,15,CN,CN,No,,,2,10,Irregolare,4,Legno,,No,No,9,9,18,15,2,Pietra d'Istria,40,31,"Trachite, Pietra d'Istria e Legno",1.82,0.73,11.65,3.54,3.87,0,0,0,0,0,1.82,6.65,12.1,4,Legno,2,Medie,23.75,2,Vuoto Geometrico,4,Legno,12,12,12,94.6,8.26,2.5,0,8.235,-0.09,,0,0,0,2.32,2.33,0.3,0.3,0.29,0.29,0.29,29,D2,D6,,3.66,3.66,3.65,1.24,1.24,1.24,1.24,1.24,0.94,0.94,0.95,0.95,0.95,2.04,
240,Ponte de le Torete,TORETE,0,Rio de le Torete,TRTE,7,8,CN,CN,No,,,1,6,Sesto Ribassato,15,"Mattoni, Intonaco e Pietra d'Istria",,No,No,9,9,18,13,2,Pietra d'Istria,46,3,Trachite,4.44,2.04,32.68,6.02,6.55,0,0,0,0,0,4.44,3.07,13.63,3,Trachite,4,Ottime,46.31,1,Piena,14,Mattoni e Pietra d'Istria,28,42,35,141,5.06,30,40,4.36,-0.2,,0,0,0,2.52,2.53,-0.85,-0.6,-0.5,-0.57,-0.65,-85,C32,C31,,3.44,3.44,3.44,0.85,0.72,0.69,0.72,0.9,1.7,1.32,1.19,1.29,1.55,5.18,Restauro in corso.
241,Ponte dei Lustraferi,LUSTRA,0,Rio dei Lustraferi,LUST,8,9,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,No,10,9,19,12,2,Pietra d'Istria,43,3,Trachite,3.36,1.44,24.56,7.14,6.07,0,0,0,0,0,3.36,3.23,10.85,3,Trachite,,,35.41,1,Piena,14,Mattoni e Pietra d'Istria,28,41,34.5,83.6,5.73,40,40,4.93,0.47,,0,0,0,1.97,2.04,0.76,0.52,0.43,0.48,0.71,43,D18,D21,,2.85,2.87,2.87,1.63,1.35,1.23,1.31,1.56,0.87,0.83,0.8,0.83,0.85,4.05,Restauro in corso.
242,Ponte de l'Abazia,ABAZI2,0,Rio de la Sensa,SENS6,6,9,CN,CN,No,,,3,8,Trapezoidale,4,Legno,,No,No,10,2,12,17,2,Pietra d'Istria,40,1,Mattoni,2.45,0.98,9.8,4.35,0.85,0,0,0,0,0,2.72,13.72,37.32,4,Legno,1,Cattive,47.12,2,Vuoto Geometrico,4,Legno,14,14,14,93.4,12.66,12,26,12.28,0.36,36,0,0,0,2.71,2.72,0.31,0.31,0.33,0.31,0.32,31,B5,B6,B7,3.6,3.61,3.6,1.25,1.25,1.25,1.24,1.26,0.94,0.94,0.92,0.93,0.94,3,Rampa a nord in mattoni e pietra d'Istria.
243,Ponte Corte Vechia,VECIA,0,Rio de la Sensa,SENS6,6,9,CN,CN,No,,,1,7,Sesto Super Ribassato,14,Mattoni e Pietra d'Istria,,No,No,13,13,26,13,2,Pietra d'Istria,40,8,Asfalto,2.58,1.03,24.77,8.4,8.3,0,0,0,0,0,2.6,5.05,13.13,8,Asfalto,1,Cattive,37.9,2,Vuoto Geometrico,6,Metallo,3,3,3,91.6,14.02,196,267,9.39,0.26,26,0,0,0,2.8,2.86,0.75,0.55,0.48,0.53,0.73,48,B10,B8 s,B9,4,4.1,4,1.67,1.46,1.39,1.45,1.65,0.92,0.91,0.91,0.92,0.92,3.2,
244,Ponte dei Mori,MORI,0,Rio de la Sensa,SENS5,5,9,CN,CN,No,,,1,7,Sesto Super Ribassato,14,Mattoni e Pietra d'Istria,,No,No,12,16,28,12,2,Pietra d'Istria,44,32,Pietra d'Istria e Asfalto,3.58,1.58,40.96,6.6,10,0,0,0,0,0,3.35,4.35,14.57,8,Asfalto,2,Medie,55.53,2,Vuoto Geometrico,6,Metallo,3,3,3,87.4,10.31,50,40,9.41,0.39,,0,0,0,2.7,2.75,0.73,0.55,0.5,0.61,0.77,50,D24,D23,,3.78,3.78,3.78,1.62,1.42,1.37,1.47,1.65,0.89,0.87,0.87,0.86,0.88,3.95,
245,Ponte del Forno,FORNO2,0,Rio de la Sensa,SENS3,4,8,CN,CN,No,,,1,7,Sesto Super Ribassato,14,Mattoni e Pietra d'Istria,,No,No,10,10,20,13,2,Pietra d'Istria,49,32,Pietra d'Istria e Asfalto,1.18,0.58,10.41,5.88,5.82,0,0,0,0,0,2.53,3.99,10.09,8,Asfalto,2,Medie,20.5,5,Mista,19,Metallo e Pietra d'Istria,3,3,3,83.6,11.86,100,115,9.71,0.51,,0,0,0,2.29,2.37,0.63,0.58,0.59,0.63,0.63,58,D8,D16,,3.28,3.34,3.24,1.47,1.4,1.43,1.46,1.48,0.84,0.82,0.84,0.83,0.85,3.24,
246,Ponte de la Malvasia,MALVAS,0,Rio de la Sensa,SENS2,3,8,CN,CN,No,,,1,7,Sesto Super Ribassato,14,Mattoni e Pietra d'Istria,,No,No,16,14,30,12,2,Pietra d'Istria,50,32,Pietra d'Istria e Asfalto,2.37,1.19,33.18,7.96,7.36,0,0,0,0,0,3.6,2.97,10.69,8,Asfalto,2,Medie,43.87,5,Mista,19,Metallo e Pietra d'Istria,3,3,3,90.2,13.13,90,80,11.43,-0.05,,0,0,0,2.8,2.81,0.53,0.6,0.59,0.59,0.63,53,C34,D7,,4.34,4.37,4.33,1.5,1.49,1.48,1.48,1.5,0.97,0.89,0.89,0.89,0.87,2.9,
247,Ponte Turlona,TURLON,0,Rio de la Sensa,SENS2,3,8,CN,CN,No,,,3,8,Trapezoidale,4,Legno,,No,Yes,13,12,25,17,13,Vuoto,39,4,Legno,1.92,0.75,17.22,4.75,4.35,0,0,0,0,0,1.94,5.8,11.25,4,Legno,2,Medie,28.47,2,Vuoto Geometrico,4,Legno,10,10,10,90,10.64,2.75,2.6,10.5865,-0.18,,0,0,0,2.68,2.69,0.25,0.25,0.25,0.25,0.25,25,C27,C33s,,4.02,4.02,4.01,1.15,1.15,1.15,1.15,1.15,0.9,0.9,0.9,0.9,0.9,2.13,"La rampa sud ha i primi 2 scalini in pietra, la rampa nord ha i primi 3 scalini in pietra."
248,Ponte Contarini o de la Sensa,SENSA,0,Rio de la Sensa,SENS1,3,7,CN,CN,No,,,1,3,Policentrico,4,Legno,,No,Yes,15,16,31,15,13,Vuoto,38,4,Legno,2.33,0.89,25.68,5.9,6.5,0,0,0,0,0,2.35,5.28,12.41,4,Legno,2,Medie,38.08,2,Vuoto Geometrico,4,Legno,12,12,12,95.8,10.32,0,0,10.32,-0.21,,0,0,0,3.2,3.23,0.67,0.58,0.53,0.54,0.62,53,C28,C29,,4.95,4.95,4.95,1.64,1.54,1.49,1.49,1.57,0.97,0.96,0.96,0.95,0.95,2.54,I primi due gradini delle rampe sono in pietra d'Istria.
249,Ponte dei Trasti,TRASTI,0,Rio dei Trasti,TRAS01,3,4,CN,CN,No,,,1,6,Sesto Ribassato,,MATTONI PIETRA D'ISTRIA,,No,No,12,11,23,15,,,47,,,2.12,1,20.92,5.85,5.35,0,0,0,0,0,2.17,3,6.51,,,2,Medie,27.43,5,Mista,,,3,3,3,88.4,6.7,5,15,6.5,-0.02,,0,0,0,2.33,2.41,0.89,0.59,0.41,0.56,0.83,41,,,,3.82,3.88,3.83,1.76,1.47,1.31,1.45,1.71,0.87,0.88,0.9,0.89,0.88,2.85,
250,Ponte Brazzo,BRAZZO,0,Rio Brazzo,BRAZ01,4,5,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,No,12,13,25,12,2,Pietra d'Istria,47,32,Pietra d'Istria e Asfalto,3.42,1.61,36.97,6,6.63,0,0,0,0,0,,3.02,,8,Asfalto,2,Medie,,5,Mista,6,Metallo,2.5,2.5,2.5,85.8,7.56,25,30,7.01,0.64,,0,0,0,2.57,2.61,0.71,0.57,0.49,0.54,0.61,49,,,,3.35,3.39,3.36,1.56,1.42,1.36,1.4,1.47,0.85,0.85,0.87,0.86,0.86,4.13,
251,Ponte dei Muti,MUTI,0,Rio dei Muti,MUTI,5,6,CN,CN,No,,,3,8,Trapezoidale,4,Legno,,No,Yes,13,13,26,13,4,Legno,34,4,Legno,1.61,0.55,13.14,5.5,5.07,0,0,0,0,0,1.44,6.12,8.81,4,Legno,1,Cattive,21.95,2,Vuoto Geometrico,4,Legno,9,9,9,89,7.49,,,,0.22,22,0,0,0,2.65,2.65,0.34,0.35,0.35,0.36,0.33,33,,B11,B12,3.67,3.67,3.68,1.23,1.24,1.24,1.25,1.22,0.89,0.89,0.89,0.89,0.89,1.63,Le rampe sud e nord hanno i primi 5 scalini in pietra.
252,Ponte de la Sacca,SACCA,0,Rio de la Madona de l'Orto,ORTO3,2,6,CN,CN,No,,,1,6,Sesto Ribassato,15,"Mattoni, Intonaco e Pietra d'Istria",TRE SCUDI,No,No,15,12,27,13,2,Pietra d'Istria,43,3,Trachite,1.75,0.75,18.81,6.58,5.37,0,0,0,0,0,3.08,3.4,10.47,3,Trachite,3,Buone,29.28,1,Piena,14,Mattoni e Pietra d'Istria,37,36,36.5,89.2,10.73,115,110,8.48,0.18,18,0,0,0,2.52,2.59,0.67,0.57,0.49,0.51,0.59,49,B14,B13s,B15,3.78,3.81,3.8,1.62,1.44,1.33,1.38,1.52,0.95,0.87,0.84,0.87,0.93,3.83,
253,Ponte de la Madona de l'Orto,ORTO,0,Rio de la Madona de l'Orto,ORTO2,2,5,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,SEI SCUDI ( TRE PER LATO),No,No,13,9,22,12,2,Pietra d'Istria,44,8,Asfalto,3.36,1.48,29.57,6.55,4.76,0,0,0,0,0,3.37,3.04,10.24,8,Asfalto,1,Cattive,39.81,1,Piena,14,Mattoni e Pietra d'Istria,28,28,28,77.6,11.76,120,111,9.45,0.2,16,0,0,0,2.58,2.61,0.55,0.6,0.55,0.62,0.58,55,B18,B17s,B16,3.72,3.72,3.73,1.4,1.33,1.25,1.35,1.45,0.85,0.73,0.7,0.73,0.87,3.94,
254,Ponte Loredan,LOREDA,0,Rio de la Madona de l'Orto,ORTO1,2,4,CN,CN,No,,,3,8,Trapezoidale,4,Legno,,No,Yes,11,10,21,16,4,Legno,48,4,Legno,3.36,1.61,30.64,4.75,4.42,0,0,0,0,0,2.04,5.66,11.55,4,Legno,2,Medie,42.19,2,Vuoto Geometrico,4,Legno,9,9,9,89.6,9.57,0,0,9.57,0.08,-8,0,0,0,2.42,2.42,0.3,0.3,0.3,0.3,0.32,30,B19,B21s,B20,3.54,3.54,3.54,1.2,1.2,1.2,1.2,1.2,0.9,0.9,0.9,0.9,0.88,2.23,I primi 2 scalini della rampa nord e i primi 4 della rampa sud sono in pietra. Il primo scalino scendendo della rampa nord presenta un tubo sporgente.
255,Ponte S. Alvise,ALVISE,0,Rio de S. Alvise,ALVI,1,3,CN,CN,No,,,3,8,Trapezoidale,4,Legno,,No,Yes,13,13,26,13,4,Legno,53,4,Legno,2.8,1.48,35.62,6.45,6.47,0,0,0,0,0,3.38,7.39,24.98,4,Legno,2,Medie,60.59,2,Vuoto Geometrico,4,Legno,16,16,16,100.2,16.5,2.65,2.52,16.4483,0.06,6,0,0,0,2.49,2.49,0.37,0.37,0.36,0.37,0.37,36,B22,B23,B24,3.8,3.8,3.81,1.37,1.37,1.37,1.37,1.37,1,1,1.01,1,1,3.75,I primi 7 scalini della rampa nord e i primi 7 della rampa sud sono in pietra.
256,Ponte de San Bonaventura,BONAVE,0,Rio de S. Alvise,ALVI,1,3,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,TRE SCUDI A EST UN MASCHERONE A OVEST,No,No,5,15,20,14,2,Pietra d'Istria,51,8,Asfalto,3.69,1.88,33.87,5.62,12,0,0,0,0,0,4.04,3.66,14.79,8,Asfalto,1,Cattive,48.66,1,Piena,14,Mattoni e Pietra d'Istria,27,27,27,84.4,11.86,35,70,10.81,0.02,2,0,0,0,2.71,2.79,0.54,0.58,0.61,0.68,0.76,54,B25,B26,B29,4.19,4.19,4.175,1.5,1.38,1.39,1.49,1.63,0.96,0.8,0.78,0.81,0.87,4.58,Spalletta intonacata.
257,Ponte sulla Cavana (S.Bonaventura),CAVBON,0,Rio de S. Alvise,ALVI,1,1,CN,CN,No,,,1,1,A tutto Sesto,14,Mattoni e Pietra d'Istria,,No,No,5,7,12,14,2,Pietra d'Istria,46,8,Asfalto,5.75,2.65,26.45,3.28,2.5,0,0,0,0,0,6.04,8.47,51.16,3,Trachite,2,Medie,77.61,1,Piena,14,Mattoni e Pietra d'Istria,,28,,93.6,8.17,,,,-0.01,-1,0,0,0,1.36,1.66,,0.66,0.32,0.91,,,B28,B27,B30,3.21,3.21,3.2,,1.56,1.23,1.83,,0.91,0.9,0.91,0.92,1.04,6.3,Spalletta intonacata.
258,Ponte de le Guglie,GUGLIE,0,Canal de Cannaregio,CANN4,15,20,CN,CN,No,,,1,7,Sesto Super Ribassato,14,Mattoni e Pietra d'Istria,,No,Yes,,,,,2,Pietra d'Istria,,3,Trachite,,,,18.1,15.3,0,0,0,0,0,7.63,4.52,34.49,3,Trachite,3,Buone,,4,Colonnette,2,Pietra d'Istria,37,37,37,,19.29,3.2,1.15,19.2465,0.09,,0,0,0,,,,,0.76,0.71,,,C17,C18,,,,,,,1.91,1.77,1.71,1,1.07,1.15,1.06,,8.44,Presenza di rampa per handicappati.
259,Ponte dei Tre Archi,3ARCHI,0,Canal de Cannaregio,CANN2,15,123,CN,CN,No,,,3,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,"18 scudi, 4 nicchie, 2 targhe restauro",No,Yes,26,26,52,14,2,Pietra d'Istria,37,3,Trachite,5.16,1.91,95.46,,18,0,0,0,0,0,5.16,5.35,27.61,3,Trachite,4,Ottime,123.07,1,Piena,2,Pietra d'Istria,50,50,50,89,24.98,7.39,7.39,24.8322,0.39,,0,0,0,4.36,4.41,1.05,0.82,0.74,0.78,0.92,74,C7,C8s,,5.68,5.67,5.69,1.95,1.71,1.61,1.67,1.82,0.9,0.89,0.87,0.89,0.9,7.18,"Scritte spray, ipotenusa nord non rilevabile."
260,Ponte de le Saponete,SAPONE,0,Canal de Cannaregio,CANN2,19,123,CN,CN,No,,,1,6,Sesto Ribassato,14,Mattoni e Pietra d'Istria,,No,Yes,12,12,24,14,2,Pietra d'Istria,44,3,Trachite,4.95,2.18,47.92,8.18,7.55,0,0,0,0,0,4.95,4.12,20.39,3,Trachite,2,Medie,68.31,1,Piena,14,Mattoni e Pietra d'Istria,40,40,40,88.2,7.67,40,25,7.02,0.35,,0,0,0,2.4,2.43,1.07,0.82,0.73,0.79,1.01,73,C11,C10,,3.74,3.71,3.74,1.97,1.69,1.6,1.66,1.91,0.9,0.87,0.87,0.87,0.9,5.75,Corrimano rotto.
261,Ponte Privato và al civico 621/A/E,GIOB_P1,0,Rio de S. Giobbe,GIOB,19,123,CN,CN,Yes,621,A/E,1,2,Piano,4,Legno,,No,No,9,11,20,17,10,Calcestruzzo,33,10,Calcestruzzo,1.8,0.59,10.69,,4.08,0,0,0,0,0,1.82,8.7,15.83,4,Legno,2,Medie,26.53,2,Vuoto Geometrico,4,Legno,10,10,10,105,7.17,-85,20,7.82,0.29,,0,0,0,3.08,3.09,0.27,0.27,0.27,0.27,0.27,27,C9,C12s,,4.12,4.12,4.11,1.32,1.32,1.32,1.32,1.32,1.05,1.05,1.05,1.05,1.05,2,"Rampa nord chiusa da un cancello, presenza di un tubo d'acqua nel lato ovest."
