Codice_Ponte,Numero_Zucchetta,Nome_Ponte,Segmento,Nome_Rio,Isola_Nord,Isola_Sud,Sestiere_Nord,Sestiere_Sud
SEPOLC,129,Ponte del S. Sepolcro,PIET,Rio de la Piet‡,95,96,CS,CS
DPIETA,130,Ponte drio La Piet‡,PIET,Rio de la Piet‡,95,96,CS,CS
ANTONIN,131,Ponte S. Antonin,,,95,96,CS,CS
COMENDA,132,Ponte de la Comenda,,,95,96,CS,CS
CTENOVA,133,Ponte de la Corte Nova,,,95,96,CS,CS
GIUS_P1,134,Ponte Privato v‡ al civico 2856,GIUS,Rio de S. Giustina,66,67,CS,CS
GIUSTINA,135,Ponte S. Giustina,GIUS,Rio de S. Giustina,66,67,CS,CS
CAVOSP,137,Ponte su Cavana dell'Ospedale (N),FNUO6,,66,66,CS,CS
VIGN_P1,138,Ponte Privato va al civico 2838,VIGN1,Rio de S. Francesco de la Vigna,67,96,CS,CS
FONTEG,139,Ponte del Fontego,VIGN1,Rio de S. Francesco de la Vigna,67,96,CS,CS
FRANCE,140,Ponte de S. Francesco o del Nu,VIGN1,Rio de S. Francesco de la Vigna,67,96,CS,CS
VIGN1_P2,141,Ponte Privato v‡ al civico 3959,VIGN1,Rio de S. Francesco de la Vigna,67,96,CS,CS
SUFFRA,142,Ponte del Suffragio o del Cristo,VIGN1,Rio de S. Francesco de la Vigna,67,96,CS,CS
CADIO,143,Ponte de la Ca' de Dio,DIO,Rio de la Ca' di Dio,96,98,CS,CS
ERIZZO,144,Ponte Erizzo,DIO,Rio de la Ca' di Dio,98,96,CS,CS
STORT5,145,Ponte Storto,DIO,Rio de la Ca' di Dio,96,98,CS,CS
GRANA,146,Ponte de la Grana,MRTI1,Rio dei Scudi e de la S. Ternita,97,96,CS,CS
ARCO,147,Ponte de l'Arco,MRTI1,Rio dei Scudi e de la S. Ternita,97,96,CS,CS
SCUDI,148,Ponte dei Scudi,SCUD,Rio dei Scudi e de la S. Ternita,96,97,CS,CS
SCOAZ2,149,Ponte de la Scoazzera,SCUD,Rio dei Scudi e de la S. Ternita,96,97,CS,CS
ARSENAL,150,Ponte de l'Arsenal,ARSE2,Rio de l'Arsenal,98,99,CS,CS
PARADI,151,Ponte de l'Arsenal de Paradiso,ARSE2,Rio de l'Arsenal,98,99,CS,CS
GALE2_P1,151,Ponte Interno privato dell'Arsenale,GALE2,Canal de le Galeazze,67,99,CS,CS
GALE1_P1,151,Ponte Privato dell'Arsenale,GALE1,Canal de le Galeazze,67,68,CS,CS
ARZANA,152,Ponte Ingresso Monumentale Arsenale,ARSE1,Rio de San Martin,67,98,CS,CS
ARSE1_P1,153,Ponte dell'Arsenal detto del Purgatorio,ARSE1,Rio de San Martin,67,98,CS,CS
ARSE1_P2,154,Ponte dell'Arsenal detto de l'Inferno,ARSE1,Rio de San Martin,67,98,CS,CS
PENINI,155,Ponte dei Penini,ARSE1,Rio de San Martin,97,98,CS,CS
GORN_P1,156,Ponte dell'Arsenal detto P. Ar,GORN,Rio de le Gorne,97,67,CS,CS
CELE_P1,157,"Ponte Privato, v‡ al civico 275",CELE,Rielo drio la Celestia o de l'Arsenal,67,67,CS,CS
VENETA,158,Ponte de la Veneta Marina,TANA2,Rio de la Tana,99,103,CS,CS
TANA,159,Ponte de la Tana,TANA2,Rio de la Tana,99,103,CS,CS
