"id","polygon"
"3020","LINESTRING (12.365349376295267 45.408152334039244, 12.365052836338407 45.408197765900155)"
"3021","LINESTRING (12.339280240236752 45.37500212976826, 12.339533073482935 45.37484065113307)"
"3022","LINESTRING (12.341233552390513 45.37371844812362, 12.341478288089817 45.37354494181974)"
"3023","LINESTRING (12.337224073131592 45.370873295179265, 12.33692466857442 45.370892187271394)"
"3024","LINESTRING (12.33758260083101 45.37053569961054, 12.337684321454983 45.37025347113101)"
"3025","LINESTRING (12.338362877434907 45.370092595996425, 12.338651233611962 45.37017536504351)"
"3026","LINESTRING (12.339678600543765 45.370437986033195, 12.339971738803817 45.37050178227521)"
"3027","LINESTRING (12.341137152899014 45.371763219478524, 12.341292199749889 45.37202004719127)"
"3028","LINESTRING (12.316463512309788 45.34743325038532, 12.316547896077104 45.347145362595)"
"3029","LINESTRING (12.325053720893859 45.42386596237659, 12.325268125802321 45.42407579691909)"
"3030","LINESTRING (12.325739048004456 45.42454374973377, 12.325950371453041 45.42475668728349)"
"3031","LINESTRING (12.326464501237945 45.42552295077554, 12.326602687117903 45.425789230069846)"
"3032","LINESTRING (12.325220154160716 45.424338523358195, 12.32492340513244 45.42438256895068)"
"3033","LINESTRING (12.327183896053121 45.42486694211069, 12.327481111366083 45.42482616150574)"
"2102","LINESTRING (12.321713778559753 45.43682719576271, 12.321999639121033 45.436736180711726)"
"2103","LINESTRING (12.323261330228158 45.43595254074503, 12.323280446737881 45.435653150432806)"
"2104","LINESTRING (12.322474606817758 45.435621930808125, 12.32217896902356 45.43567290427809)"
"2105","LINESTRING (12.32102074096842 45.43597618665058, 12.320749843986876 45.43610508515869)"
"2106","LINESTRING (12.319313355438403 45.43584039472198, 12.319019752891077 45.4357787705043)"
"2107","LINESTRING (12.31808957487998 45.43546468254736, 12.318196297391466 45.435184307253266)"
"2108","LINESTRING (12.317321183905907 45.434706325271016, 12.317504159648596 45.43446858617539)"
"2109","LINESTRING (12.318651213534098 45.43449678171402, 12.318945988287487 45.434552529761206)"
"2110","LINESTRING (12.317006027631233 45.43318049232923, 12.31672434164128 45.43307727894316)"
"2111","LINESTRING (12.316159710367964 45.43288476879534, 12.31587527625553 45.43278938936526)"
"2112","LINESTRING (12.315471929296763 45.43243675097837, 12.315558099459807 45.43214939283423)"
"2113","LINESTRING (12.317611430000381 45.43252033366612, 12.317910468952407 45.43254432752305)"
"2114","LINESTRING (12.318935010158912 45.4327298374935, 12.319217429261704 45.43283102766287)"
"2115","LINESTRING (12.319963756831642 45.43256756782859, 12.320169822286084 45.43234953794879)"
"2116","LINESTRING (12.320530655689423 45.4315310945443, 12.320520721185007 45.43123125908005)"
"2117","LINESTRING (12.321784241130324 45.432456069297515, 12.321860010555518 45.432165795299014)"
"2118","LINESTRING (12.32193555056819 45.43174524820074, 12.32192497053646 45.431445434820574)"
"2119","LINESTRING (12.322640418616023 45.431180325972434, 12.322934139212697 45.431119266893745)"
"2120","LINESTRING (12.324366247331591 45.4309284010787, 12.324522523302354 45.43118448274724)"
"2121","LINESTRING (12.324650794766313 45.43147840646923, 12.324678383651694 45.431777135198026)"
"2122","LINESTRING (12.322091796930984 45.43283233340112, 12.32238684257846 45.43288662949587)"
"2123","LINESTRING (12.32182513535812 45.433986379418, 12.322104368340066 45.43409605595056)"
"2124","LINESTRING (12.323052556223914 45.43480612708141, 12.323152645381896 45.435088938255966)"
"2125","LINESTRING (12.32479871070144 45.435172027985395, 12.325076962385712 45.43505988521836)"
"2126","LINESTRING (12.325426296573266 45.43619349319575, 12.32570762466796 45.436089308248974)"
"2127","LINESTRING (12.332942514765326 45.43372371215839, 12.333048961576312 45.434004192240444)"
"2128","LINESTRING (12.33350657853893 45.43436421289214, 12.333765065516502 45.43451647740681)"
"2129","LINESTRING (12.332478382869999 45.4334971490127, 12.332181212104837 45.433538252982494)"
"2130","LINESTRING (12.33204746452018 45.43350839488542, 12.331963890468689 45.43322027099208)"
"2131","LINESTRING (12.332039583694327 45.433157557094205, 12.332334740527825 45.4331038687003)"
"2132","LINESTRING (12.331759957668057 45.43381236032924, 12.331515650132657 45.433638251661606)"
"2133","LINESTRING (12.333009919630422 45.433242435219746, 12.332711503440398 45.433211649224056)"
"2134","LINESTRING (12.336234843736289 45.435070065739396, 12.336185576953351 45.43536599273055)"
"2135","LINESTRING (12.336498762748098 45.43544510506479, 12.336774405700021 45.43556351521238)"
"2136","LINESTRING (12.338289960942461 45.43471685633075, 12.338185930006027 45.43499824141256)"
"2137","LINESTRING (12.338204908982094 45.435021006376175, 12.33835027105212 45.43528343706912)"
"2138","LINESTRING (12.338163561030173 45.43539559855227, 12.337885609158215 45.43550848237252)"
"2139","LINESTRING (12.338206918861308 45.43650233885196, 12.338506878479153 45.436497416691545)"
"2140","LINESTRING (12.338792136028749 45.436468350670516, 12.339079276380746 45.43638145752778)"
"2141","LINESTRING (12.339355102422436 45.436159147868594, 12.339563976513174 45.435943807175235)"
"2142","LINESTRING (12.339756891971987 45.43574838686006, 12.34002704327657 45.435878840961685)"
"2143","LINESTRING (12.340848397892653 45.436285399110574, 12.341046732094338 45.43606031347255)"
"2144","LINESTRING (12.341205232703546 45.43592410013816, 12.34149677530356 45.435994831406894)"
"2145","LINESTRING (12.34201859116147 45.43581317934249, 12.342298434512397 45.435705069680836)"
"2146","LINESTRING (12.342695470581234 45.43545011721773, 12.342450263722167 45.435277277418294)"
"2147","LINESTRING (12.342406005603042 45.435214371130535, 12.342106464483994 45.43519778444918)"
"2148","LINESTRING (12.342228120881396 45.434577963022726, 12.34226298257274 45.43427999547)"
"2149","LINESTRING (12.338509392489158 45.43426121134043, 12.338639193458356 45.43399074561543)"
"2150","LINESTRING (12.343317200978262 45.435686409946136, 12.343320767269404 45.435986388748)"
"2151","LINESTRING (12.342972696431016 45.436561863693974, 12.342805060854612 45.43681065741078)"
"2152","LINESTRING (12.340662519473007 45.436612196970195, 12.340570306390745 45.43689767332203)"
"2153","LINESTRING (12.340393324046103 45.43719253208268, 12.34017578296075 45.437399113485974)"
"2154","LINESTRING (12.339700959645475 45.437791893045926, 12.339503794319539 45.437565782820045)"
"2155","LINESTRING (12.339307568602873 45.437668170688035, 12.339014580435258 45.437732652729245)"
"2156","LINESTRING (12.338757569220617 45.43773059955902, 12.33884875277486 45.4380164064159)"
"2157","LINESTRING (12.337710641795617 45.4375565659343, 12.337649530248079 45.437262856249816)"
"2158","LINESTRING (12.337635133301447 45.43667468861829, 12.337908215804362 45.43655048738399)"
"2159","LINESTRING (12.349875516360058 45.4387300137888, 12.349710812774553 45.43847926943907)"
"2160","LINESTRING (12.34983291064009 45.43828175996296, 12.35012142206058 45.43819953368828)"
"2161","LINESTRING (12.346727720556224 45.437775221426946, 12.34702688329282 45.43775282372543)"
"2162","LINESTRING (12.348558292693326 45.43749779638595, 12.348841784638743 45.43739965201838)"
"2163","LINESTRING (12.356243436848223 45.43540670288731, 12.355945702433354 45.43544350259115)"
"2164","LINESTRING (12.355731949262639 45.43443203110141, 12.355764147445944 45.434133763977854)"
"2165","LINESTRING (12.354666249176365 45.433150600881625, 12.354366731285896 45.43316760186067)"
"2166","LINESTRING (12.3570412732578 45.43470334748481, 12.356892168912978 45.43444302481127)"
"2167","LINESTRING (12.356688539683876 45.43375503065444, 12.3567394721716 45.433459385797065)"
"2168","LINESTRING (12.356868649779802 45.43313982825414, 12.35710851235125 45.43295964516166)"
"2169","LINESTRING (12.357199146927083 45.432881533752116, 12.357307655786897 45.43260184494765)"
"2170","LINESTRING (12.34955682035493 45.43714581045786, 12.34983743623231 45.43703972214859)"
"2171","LINESTRING (12.34954080171321 45.43617167844788, 12.349382148957972 45.43591706245613)"
