id,id_rio,lung,sup,larg_md,larg_min,id_int_nord,id_int_sud
BACI06,BACI,44.6,14510.44,325.35,0,0,0
BACI07,BACI,119.4,35712.33,299.1,0,0,0
BACI08,BACI,64.8,19071.14,294.31,0,0,0
BACI09,BACI,86.9,22902.81,263.55,0,0,0
BACI10,BACI,359.9,87130.85,242.1,0,0,0
BACI11,BACI,373.6,99230.9,265.61,0,0,0
BACI12,BACI,359.5,136254.64,379.01,0,0,0
BACI13,BACI,473,247515.11,523.29,0,0,0
BACI14,BACI,235.5,127423.59,541.08,0,0,0
BACI15,BACI,210.5,131141.95,623,0,0,0
BACI16,BACI,302.2,224524.63,742.97,0,0,0
BARC01,BARC,27.03,158.1,5.9,5.4,II0945,II0960
BARC02,BARC,103.53,871.08,8.4,5.4,II0960,II1020
BARE01,BARE,96.44,683.71,7.1,3.8,II0740,II0815
BARE02,BARE,6.88,45.7,6.7,6.3,II0815,II0825
BARN01,BARN,201.13,1397.31,6.9,3.8,II1030,II1055
BARN02,BARN,132.18,1014.08,7.7,5.6,II1055,II1080
BATE01,BATE,472.59,4539.65,9.6,5.4,II0020,II0070
BATE02,BATE,45.14,830.28,18.4,15.8,II0050,II0070
BECA01,BECA,241.24,1089.27,4.5,2.6,II0380,II0530
BECA02,BECA,13.22,74.34,5.6,3.6,II0530,II0550
BERN01,BERN,52.91,200.71,3.8,2.4,II0505,II0555
BIAG01,BIAG,165.25,1697.65,10.3,8,IE1380,II1415
BIAG02,BIAG,188.07,2699.43,14.3,9,II1415,IE1480
BOLD01,BOLD,26.46,84.82,3.2,2.2,II0390,II0415
BOLD02,BOLD,37.84,152.09,4,3.2,II0415,II0440
BOLD03,BOLD,67.53,380.2,5.6,4,II0440,II0485
BOTE01,BOTE,60.7,502.96,8.3,5.5,II0780,II0835
BRAZ01,BRAS,72.51,578.46,8,6.6,II0045,II0075
BRIA01,BRIA,130.33,1658.37,12.7,9,II0905,II1000
BUCI01,BUCI,0,1154.26,18.8,18.8,II0910,II0930
BURC01,BURC,319.46,2629.6,8.2,6.6,II0650,II0725
CAFO01,CAFO,57.71,659.86,11.4,7.6,II0800,II0820
CAFO02,CAFO,237.05,3493.03,14.7,9.8,II0820,II0925
CALA01,CALA,339.4,14830.65,43.7,0,0,0
CALA02,CALA,199.2,7257.87,36.44,0,0,0
CALA03,CALA,154.8,13658.9,88.24,0,0,0
CANN01,CANN,207.38,4908.8,23.7,20.4,IE0025,II0055
CANN02,CANN,96.77,2401.18,24.8,22.2,II0055,II0080
CANN03,CANN,352.46,7152.76,20.3,16.2,II0080,II0155
CANN04,CANN,124.92,2589.12,20.7,14.8,II0155,II0235
CANO01,CANO,281.51,2814.5,10,7.6,II0795,IE1065
CARM01,CARM,124.53,1521.33,12.2,11,II1000,II1070
CASS01,CASS,251.9,1264.35,5,3.2,II0355,II0500
CASS02,CASS,62.59,309.27,4.9,4,II0500,II0540
CATE01,CATE,52.61,446.93,8.5,7,II0170,II0195
CATE02,CATE,93.34,985.9,10.6,8.4,II0195,II0215
CATE03,CATE,151.69,1656.85,10.9,8.2,II0215,II0260
CAZZ01,CAZZ,229.01,1544.12,6.7,3,II0745,II0845
CELE01,CELE,120.54,1508.48,12.5,9.7,IE0520,II0610
CHIA01,CHIA,214.33,5866.43,27.4,18.8,II0375,II0470
CHIA02,CHIA,120.13,4883.01,40.7,34,II0470,II0560
CINI01,CINI,196.13,7845.26,40,37,II1420,IE1485
CMIS01,CMIS,107.19,1600.86,14.9,14.6,IE0100,II0130
CMIS02,CMIS,94.11,2235,23.8,16.6,II0130,II0170
CMIS03,CMIS,39.22,1329.34,33.9,1.2,II0170,II0190
CONV01,CONV,258.9,3388.46,13.1,10.6,II1415,II1460
CORN01,CORN,166.42,766.06,4.6,3.2,II0775,II0970
CREA01,CREA,266.87,1496.24,5.6,3.6,II0080,II0185
CREA02,CREA,208.93,2031.59,9.7,5.8,II0140,II0185
CREA03,CREA,94.36,1125.32,11.9,7.6,IE0115,II0140
CROC01,CROC,254.98,2458.29,9.6,5.2,II1490,IE1545
DANI01,DANI,296.68,1691.98,5.7,3.2,II0955,II1195
DEGO01,DEGO,115.44,748.51,6.5,4.4,II0240,II0340
DEGO02,DEGO,39.16,279.81,7.1,5.4,II0340,II0350
DEGO03,DEGO,7.63,61.51,8.2,7.4,II0350,II0360
DEGO04,DEGO,207.21,1736.88,8.4,5.2,II0360,II0475
DELE01,DELE,419.6,65553.04,156.23,0,0,IE1395
DGIO01,DGIO,0,10911.78,0,15,,
DIO001,DIO,191.33,1719.14,9,6,II0975,IE1095
DNUO01,DNUO,0,97425.56,0,22.1,IE0810,II0930
DOMI01,DOMI,282.98,1606.47,5.7,4,II0335,II0485
DUCA01,DUCA,337.62,1561.83,4.6,2.4,II1135,II1210
ELEN01,ELEN,459.93,5751.72,12.5,9.4,IE1395,IE1530
ERBE01,ERBE,91.5,402.16,4.4,3.6,II0690,II0760
EUFE01,EUFE,129.56,1113.12,8.6,7.6,IE1405,II1460
EUFE02,EUFE,228.2,2055.94,9,6.8,II1460,IE1525
FAVA01,FAVA,10.92,76.65,7.1,5.4,II0565,II0585
FAVA02,FAVA,192.52,1711.91,8.9,6.4,II0585,II0740
FELI01,FELI,97.7,847.32,8.7,5.4,II0190,II0250
FELI02,FELI,163.26,985.17,6,4,II0250,II0355
FERA01,FERA,35.47,179.74,5.1,4.2,II0815,II0830
FERA02,FERA,136.44,668.17,4.9,2.7,II0830,II0950
FIS001,1FIS,165.75,3311.82,20,12.6,II1410,IE1475
FIS002,2FIS,108.37,1225.3,11.3,4.4,II1425,IE1465
FNUO01,FNUO,612.8,101474.08,165.59,0,0,0
FNUO02,FNUO,552.6,59820.97,108.25,0,0,0
FNUO03,FNUO,45.1,4810.9,106.67,0,0,0
FNUO04,FNUO,269.5,23796.47,88.3,0,0,0
FNUO05,FNUO,33.9,2170.01,64.01,0,0,0
FNUO06,FNUO,192.7,10331.23,53.61,0,0,0
FNUO07,FNUO,66.9,3470,51.87,0,0,0
FNUO08,FNUO,385.1,22859.06,59.36,0,0,0
FNUO09,FNUO,300.7,13828.23,45.99,0,0,0
FNUO10,FNUO,153.5,8957.76,58.36,0,0,0
FNUO11,FNUO,999.9,71699.86,71.71,0,0,0
FORM01,FORM,164.58,1042.09,6.3,3.2,II0680,II0755
FORN01,FORN,104.28,489.26,4.7,3.4,II1280,II1320
FORN02,FORN,168.65,1468.94,8.7,4.4,II1320,IE1390
FOSC01,FOSC,8.19,78.26,9.5,9.2,II0160,II0165
FOSC02,FOSC,138.68,1470.57,10.6,7,II0165,II0230
FRAR01,FRAR,87.56,746.72,8.5,5.2,II0605,II0685
FRAR02,FRAR,34.27,249.41,7.3,6.7,II0685,II0700
FRES01,FRES,267.49,1379.31,5.2,2.4,II0720,II0875
FUSE01,FUSE,124.75,871.4,7,5,II0935,II0960
GAFF01,GAFF,269.03,2659.99,9.9,4.6,II0660,II0800
GALE01,GALE,0,19510.6,55,7.6,IE0570,II0910
GALE02,GALE,0,3372.77,39.5,80,II0910,II0985
GARZ01,GARZ,182.07,1049.75,5.8,3.8,II0805,II0970
GERO01,GERO,341.17,3671.32,10.8,7,II0940,II1120
GESU01,GESU,128.39,2329.79,18.1,16.2,IE0175,II0260
GESU02,GESU,44.03,455.71,10.4,8,II0260,II0300
GHET01,GHET,196.29,1687.39,8.6,5.2,II0065,II0070
GIAR01,GIAR,95.47,3280.69,34.4,15.8,II1255,II1305
GIAR02,GIAR,68.66,2020.06,29.4,24.4,II1305,II1325
GIAR03,GIAR,359.21,6396.94,17.8,11.8,II1325,IE1430
GIOB01,GIOB,274.35,1647.87,6,3.2,II0055,II0140
GIOR01,GIOR,210.05,12723.48,60.6,42.6,IE1385,II1435
GIOR02,GIOR,200.33,13146.61,65.6,60,II1435,IE1500
GIRO01,GIRO,389.16,4749.65,12.2,7.6,II0020,II0050
GIUD01,GIUD,313,85362.75,272.72,0,0,0
GIUD02,GIUD,210.8,54376.56,257.95,0,0,0
GIUD03,GIUD,154.4,38486.45,249.26,0,0,0
GIUD04,GIUD,78.6,21929.8,279.01,0,0,0
GIUD05,GIUD,247.2,71166.51,287.89,0,0,0
GIUD06,GIUD,96.1,30306.59,315.37,0,0,0
GIUD07,GIUD,189.1,59082.01,312.44,0,0,0
GIUD08,GIUD,78,24513.99,314.28,0,0,0
GIUD09,GIUD,74.9,23569.7,314.68,0,0,0
GIUD10,GIUD,310.5,100129.38,322.48,0,0,0
GIUD11,GIUD,277.8,103698.44,373.28,0,0,0
GIUD12,GIUD,465.6,125625.95,269.82,0,0,0
GIUS01,GIUS,225.5,3395.14,15.1,9.2,IE0430,II0630
GORN01,GORN,307.82,1973.09,6.4,2.8,II0705,II0965
GOZZ01,GOZZ,163.49,1170.98,7.2,4.8,II0270,II0300
GRAN01,GRAN,362.88,28096.82,77.4,44.6,IE0220,II0375
GRAN02,GRAN,199.46,15761.78,79,41.8,II0375,II0460
GRAN03,GRAN,82.2,3498.94,42.6,36.2,II0425,II0460
GRAN04,GRAN,296.11,14249.51,48.1,34,II0315,II0425
GRAN05,GRAN,91.2,3983.99,43.7,40.6,II0285,II0315
GRAN06,GRAN,193.73,9526.99,49.2,39.2,II0235,II0285
GRAN07,GRAN,73.44,4158.44,56.6,46.6,II0235,II0240
GRAN08,GRAN,135.91,6499.38,47.8,30,II0240,II0245
GRAN09,GRAN,60.96,2843.98,46.6,40.8,II0245,II0265
GRAN10,GRAN,114.76,6545.75,57,45.4,II0265,II0290
GRAN11,GRAN,67.24,3883.8,57.8,51.6,II0290,II0320
GRAN12,GRAN,28.27,1704.9,60.2,53.2,II0320,II0335
GRAN13,GRAN,66.99,4626.45,69,56.6,II0335,II0355
GRAN14,GRAN,124.14,8417.5,67.8,45,II0355,II0380
GRAN15,GRAN,112.84,6631.25,58.8,47.4,II0380,II0420
GRAN16,GRAN,46.92,2752.71,58.7,47.6,II0420,II0450
GRAN17,GRAN,103.16,4723.93,45.8,26.4,II0450,II0525
GRAN18,GRAN,173.57,7241.8,41.7,26.4,II0525,II0665
GRAN19,GRAN,76.19,4106.68,53.9,43.4,II0665,II0695
GRAN20,GRAN,139.32,8182.63,58.7,47.4,II0695,II0735
GRAN21,GRAN,112.38,7308.08,65,59.8,II0735,II0770
GRAN22,GRAN,43.36,2957.4,68.1,66.8,II0770,II0775
GRAN23,GRAN,49.86,3552.61,71.2,65.2,II0775,II0785
GRAN24,GRAN,42.78,3085.64,72.1,68.7,II0785,II0805
GRAN25,GRAN,92.95,5761.43,62,54.2,II0805,II0855
GRAN26,GRAN,66.36,4025.3,60.6,53.8,II0855,II0875
GRAN27,GRAN,48.2,2503.87,52,47.4,II0875,II0925
GRAN28,GRAN,141.27,7828.27,55.4,34,II0925,II1030
GRAN29,GRAN,48.55,3088.72,63.7,52.8,II1030,II1085
GRAN30,GRAN,71.56,4039.28,56.4,40.4,II1085,II1135
GRAN31,GRAN,71.65,3432.77,47.9,39.2,II1135,II1190
GRAN32,GRAN,30.33,1501.08,49.5,46,II1190,II1210
GRAN33,GRAN,31.37,1627.02,51.8,45,II1210,II1220
GRAN34,GRAN,45.79,2298.86,50.2,44.8,II1220,II1235
GRAN35,GRAN,61.3,3391.23,55.3,47.4,II1235,II1265
GRAN36,GRAN,134.21,8489.97,63.3,48.8,II1265,II1285
GRAN37,GRAN,34,2334.09,68.6,65.8,II1280,II1285
GRAN38,GRAN,88.71,5971.95,67.3,58.4,II1275,II1280
GRAN39,GRAN,36.9,2446.69,66.3,61.2,II1270,II1275
GRAN40,GRAN,157.06,13822.16,88,68.4,II1245,II1270
GRAN41,GRAN,58.94,7108.97,120.7,108,II1245,IE1250
GREC01,GREC,207.11,2687.64,13,9.8,II0840,IE1035
GRIM01,GRIM,37.56,183.63,4.9,4,II0125,II0145
GRIM02,GRIM,42.18,276.6,6.6,5,II0145,II0160
GRIS01,GRIS,141.26,644.73,4.6,2.4,II0450,II0455
GRIS02,GRIS,77.95,441.99,5.7,3.2,II0455,II0495
GUER01,GUER,81.64,313.34,3.8,2.6,II0255,II0310
ISEP01,ISEP,283.41,2309.23,8.1,6.2,II1305,II1330
ISEP02,ISEP,103.06,996.2,9.7,6.6,II1330,IE1340
LATE01,LATE,174.51,1221.16,7,5.2,II0575,II0615
LATE02,LATE,82.69,909.08,11,9,II0615,II0630
LAVR01,LAVR,324.48,21310.63,65.7,41.2,IE1355,IE1450
LIO001,LIO,89.31,675.97,7.6,4.2,II0495,II0565
LORE01,LORE,45.78,450.4,9.8,8.6,II0615,II0675
LORE02,LORE,184.36,2430.36,13.2,8.8,II0675,II0840
LUCA01,LUCA,152.92,1259.44,8.2,5.6,II0735,II0880
LUCA02,LUCA,17.91,146.51,8.2,7.4,II0880,II0915
LUCA03,LUCA,25.8,214.49,8.3,6.8,II0915,II0945
LUNA01,LUNA,67,511.94,7.6,5.6,II1100,IE1165
LUST01,LUST,76.29,435.68,5.7,4.4,II0060,II0095
MADA01,MADA,24.72,252.99,10.2,5.8,II0165,II0180
MADA02,MADA,203.6,1231.21,6,4,II0180,II0290
MADO01,MADO,61.35,259.37,4.2,3.6,II0490,II0540
MADO02,MADO,62.59,435.97,7,5.2,II0540,II0600
MADO03,MADO,151.51,719.11,4.7,2,II0600,II0770
MAGA01,MAGA,63.91,504.43,7.9,6.2,II0650,II0660
MAGG01,MAGG,169.58,1438.73,8.5,8,II0790,II0845
MAGG02,MAGG,74.61,880.48,11.8,10.8,II0845,II0865
MAGG03,MAGG,57.35,723.48,12.6,11.4,II0865,II0885
MALP01,MALP,153.45,1025.71,6.7,5,II1085,II1115
MALP02,MALP,50.43,415.71,8.3,6.4,II1115,II1125
MALP03,MALP,52.53,338.72,6.5,4.8,II1125,II1140
MALP04,MALP,150.01,1148.48,7.7,5.8,II1140,II1185
MARC01,MARC,39.51,200.21,5.1,4,II0135,II0150
MARC02,MARC,97.81,627.67,6.4,4.4,II0150,II0200
MARC03,MARC,46.36,319.03,6.9,6.4,II0200,II0245
MARG01,MARG,279.08,3117.38,11.2,6.6,II0800,II1000
MARI01,MARI,86.47,769.75,8.9,6.4,II0495,II0510
MARI02,MARI,16.03,180.11,11.3,9,II0510,II0515
MARI03,MARI,40.11,450.48,11.2,9.2,II0515,II0535
MARI04,MARI,21.52,405.74,18.9,16.8,II0535,II0545
MARN01,MARN,331.65,2684.89,8.1,5.2,II0315,II0480
MAUR01,MAUR,256.32,1092.91,4.3,1.2,II1025,II1285
MEGI01,MEGI,187.24,1115.26,6,2.8,II0245,II0370
MEGI02,MEGI,104.88,782.55,7.5,4.4,II0370,II0390
MEGI03,MEGI,30.51,406.05,13.3,7.8,II0390,II0405
MELO01,MELO,157.63,684.24,4.3,3,II0590,II0735
MEND01,MEND,402.15,5719.63,14.2,5.4,IE0305,II0535
MICH01,MICH,103.87,484.13,4.7,2.9,II0770,II0890
MIRA01,MIRA,118.3,608.71,5.1,3,II0410,II0495
MISE01,MISE,92.85,1796.96,19.4,17.2,II0050,II0065
MISE02,MISE,105.6,1578.05,14.9,11.2,II0065,II0085
MISE03,MISE,73.95,784.3,10.6,9,II0085,II0095
MISE04,MISE,22.9,254.44,11.1,10.2,II0095,II0110
MISE05,MISE,168.63,1551.11,9.2,4.6,II0110,II0125
MISE06,MISE,201.79,1743.2,8.6,6,II0125,II0205
MOCE01,MOCE,272.43,1090.16,4,2,II0290,II0415
MOIS01,MOIS,202.29,1759.35,8.7,5.2,II1020,II1245
MOND01,MOND,33.86,193.49,5.7,4.6,II0620,II0655
MOND02,MOND,124.91,1130.76,9.1,7.4,II0655,II0755
MOND03,MOND,72.4,519.62,7.2,5.6,II0755,II0795
MORO01,MORO,80.75,1731.72,21.4,17.4,IE0010,II0020
MORT01,MORT,62.61,389.61,6.2,4.6,II1510,II1520
MRTI01,MRTI,20.52,105.18,5.1,4.2,II0965,II0975
MRTI02,MRTI,87.04,316.65,3.6,2.6,II0965,II0985
MUNE01,MUNE,349.59,2051.75,5.9,3,II0465,II0720
MUTI01,MUTI,75.91,630.5,8.3,7.8,II0090,II0120
NAVI01,NAVI,205.7,53583.9,260.5,0,0,0
NAVI02,NAVI,481.2,151845.99,315.56,0,0,0
NAVI03,NAVI,50.5,23130.05,458.02,0,0,0
NAVI04,NAVI,256.9,92151.7,358.71,0,0,0
NAVI05,NAVI,185.9,42039.88,226.14,0,0,0
NAVI06,NAVI,336.4,68333.99,203.13,0,0,0
NAVI07,NAVI,277.7,91275.39,328.68,0,0,0
NICL04,NICL,0,358256.01,0,0,0,0
NICO01,NICO,172.67,1464,8.5,6.2,II1050,II1160
NICO02,NICO,65.36,818.48,12.5,11,II1160,IE1225
NOAL01,NOAL,39.62,499.93,12.6,10.2,II0190,II0205
NOAL02,NOAL,25.82,389.45,15.1,12.2,II0205,II0210
NOAL03,NOAL,45.17,631.14,14,10.4,II0210,II0230
NOAL04,NOAL,132.34,1493.84,11.3,8,II0230,II0320
NOVO01,NOVO,170.77,3297.04,19.3,15.4,II0460,II0650
NOVO02,NOVO,53.47,1166.43,21.8,18.2,II0650,II0710
NOVO03,NOVO,33.74,971.66,28.8,16,II0710,II0730
NOVO04,NOVO,236.28,3522.17,14.9,11.4,II0730,II0800
OGNI01,OGNI,193.84,1636.05,8.4,5.4,II1185,II1290
OGNI02,OGNI,49.02,596.19,12.2,7.2,II1290,II1300
OGNI03,OGNI,139.52,1925.79,13.8,8.4,II1300,II1310
ORIO01,ORIO,51.61,395.01,7.7,4.4,II0405,II0445
ORIO02,ORIO,51.32,276.55,5.4,4,II0445,II0475
ORIO03,ORIO,103.93,910.59,8.8,6.8,II0475,II0480
ORSE01,ORSE,120.11,1140.17,9.5,4,II0935,II0995
ORSO01,ORSO,92.13,413.84,4.5,3.7,II1130,II1235
ORTO01,ORTO,177.12,1800.91,10.2,8,II0035,II0045
ORTO02,ORTO,171.13,2185.9,12.8,9.2,II0045,II0090
ORTO03,ORTO,19.58,223.04,11.4,10.6,II0090,II0105
PALA01,PALA,158.62,2540.53,16,10.6,II1495,II1505
PANA01,PANA,119.72,1400.42,11.7,8.6,IE0275,II0345
PANA02,PANA,222.49,1142.44,5.1,3.8,II0345,II0435
PANA03,PANA,84.99,565.21,6.6,4,II0435,II0510
PANT01,PANT,112.08,1216.21,10.8,6.8,II0720,II0820
PERG01,PERG,279.39,1248.32,4.5,2.8,II0320,II0440
PEST01,PEST,79.73,763.07,9.6,7,II0545,II0575
PEST02,PEST,120.64,900.77,7.5,5.6,II0545,II0655
PIER01,PIER,141.92,6619.19,46.6,27.4,IE0895,II0990
PIER02,PIER,208.62,9544.91,45.7,32.4,II0990,II1175
PIER03,PIER,104.13,5169.23,49.7,36.4,II1175,II1255
PIET01,PIET,204.71,2000.5,9.8,5.8,II0870,IE1040
PIOM01,PIOM,97.17,377.98,3.9,2.8,II0515,II0620
PIOM02,PIOM,175.52,798.34,4.5,1.8,II0585,II0620
PLON01,PLON,129.78,3812.67,29.4,17.8,IE1470,II1505
PLON02,PLON,140.69,5494.52,39.1,27.4,II1505,IE1540
POLO01,POLO,86.09,505.71,5.9,4.4,II0505,II0580
POLO02,POLO,53.67,631.9,11.8,9.2,II0580,II0635
POLO03,POLO,90.55,989.69,10.9,6,II0635,II0715
POLO04,POLO,76.03,882.16,11.6,8.6,II0715,II0760
POLO05,POLO,9.86,169.66,19.9,17.4,II0760,II0785
PPIC01,PPIC,146.63,1387.86,9.5,6.4,IE1440,II1495
PPIC02,PPIC,87.53,1281.02,14.6,10.4,II1495,II1520
PPIC03,PPIC,83.88,1375.69,16.4,9.4,II1520,IE1535
PRIU01,PRIU,49.22,379.07,7.7,6,II0250,II0280
PRIU02,PRIU,83.69,745.49,8.9,5.8,II0280,II0310
PRIU03,PRIU,47.83,547.31,11.4,9.8,II0310,II0325
PROC01,PROC,105.21,578.38,5.5,4,II0950,II0995
PROV01,PROV,72.14,374.99,5.2,4,II0840,II0850
PROV02,PROV,35.4,144.25,4.1,2,II0850,II0860
QUIN01,QUIN,195.88,6781.81,34.6,12.8,IE1150,II1255
RACH01,RACH,69.55,291.21,4.2,3.2,II0195,II0225
RACH02,RACH,72.31,352.15,4.9,3.8,II0225,II0280
RAFF01,RAFF,211.89,1852.13,8.7,6,II1070,II1105
RAFF02,RAFF,113.37,1319.66,11.6,8,II1105,II1160
REAL01,LUNA,122.17,870.37,7.1,5,II1060,II1100
ROMI01,ROMI,176.92,1254.14,7.1,4.8,II1125,II1300
SACB01,SACB,132.24,11671.61,88.3,75.8,IE1375,II1400
SACB02,SACB,183.21,16294.5,88.9,32.4,II1400,IE1455
SACF01,SACF,48.85,860.4,17.6,11.8,II1400,II1410
SACF02,SACF,103.04,1658.74,16.1,11.6,II1410,II1425
SACF03,SACF,174.14,2674.95,15.4,9.4,II1425,IE1445
SACM01,SACM,157.77,1781.13,11.3,10.4,II0105,II0130
SALU01,SALU,89.91,648.87,7.2,5.8,II1270,II1315
SALU02,SALU,95.93,648.89,6.8,5,II1315,IE1345
SALV01,SALV,216.53,1071.78,5,2.8,II0665,II0825
SANT01,SANT,275.27,1596.39,5.8,3.8,II1005,II1265
SCOA01,SCOA,99.59,630.94,6.3,4.4,II0825,II0900
SCOA02,SCOA,25.61,208.3,8.1,7,II0900,II0935
SCOM01,SCOM,596.05,28186.84,47.3,34.8,II0560,II1010
SCOM02,SCOM,186.42,9783.69,52.5,49,II1010,IE1155
SCUD01,SCUD,296.85,1842.79,6.2,4,II0705,II0920
SCUD02,SCUD,58.45,424.59,7.3,6,II0920,II0975
SEBA01,SEBA,256.99,2764.92,10.8,8.4,II1070,IE1295
SECO01,SECO,87.9,6041.37,68.73,0,0,0
SECO02,SECO,312.9,36221.48,115.76,0,0,0
SECO03,SECO,202.6,33198.51,163.86,0,0,0
SENS01,SENS,301.73,4631.48,15.3,9.2,IE0005,II0030
SENS02,SENS,230.62,3024.18,13.1,7.2,II0030,II0040
SENS03,SENS,67.66,803.68,11.9,9.6,II0040,II0060
SENS04,SENS,82.67,844.34,10.2,9.2,II0060,II0075
SENS05,SENS,165.56,1681.32,10.2,6.4,II0075,II0120
SENS06,SENS,176.24,2364.71,13.4,10.6,II0120,II0170
SERV01,SERV,85.34,799.89,9.4,6.2,II0110,II0135
SERV02,SERV,137.23,1478.3,10.8,7.6,II0135,II0160
SEVE01,SEVE,73.84,469.57,6.4,5.2,II0595,II0680
SEVE02,SEVE,198.75,1671.28,8.4,4.2,II0680,II0850
STIN01,STIN,111.93,933.15,8.4,8,II0580,II0605
TANA01,TANA,55.84,564.74,10.1,8.8,II1120,II1200
TANA02,TANA,453.29,4964.82,11,5.8,II1120,II1230
TANA03,TANA,20.71,336.49,16.2,14.6,II1230,IE1240
TEDE01,TEDE,110.39,875.78,7.9,5.6,II0525,II0565
TENT01,TENT,49.3,547.73,11.1,9,II0835,II0905
TENT02,TENT,249.8,3108.93,12.4,10.4,II0865,II0905
TERE01,TERE,64.69,1428.95,22.1,16.8,II0885,II0980
TERE02,TERE,153.02,1941.93,12.7,7.2,II0980,II1050
TETT01,TETT,39.95,264.29,6.6,4.2,II0575,II0595
TETT02,TETT,143.71,1108.88,7.7,5.2,II0595,II0675
TOLA01,TOLA,67.73,370.74,5.5,3.2,II1115,II1170
TOLA02,TOLA,123.64,575.29,4.7,2.4,II1145,II1170
TOLE01,TOLE,262.43,2317.09,8.8,6,II0425,II0660
TOMA01,TOMA,165.25,844.49,5.1,2.6,II0700,II0855
TORE01,TORE,382.48,2121.41,5.5,3.2,II1285,IE1370
TRAP01,TRAP,175.5,1280.78,7.3,4.4,II0145,II0210
TRAS01,TRAS,74.89,483.78,6.5,5.2,II0035,II0040
TREP01,TREP,13.04,137.98,10.6,10,II0730,II0745
TREP02,TREP,51.37,539.75,10.5,8.2,II0745,II0790
TREP03,TREP,36.7,476.6,13,11.2,II0790,II0835
TRNC01,TRNC,999.9,186365.42,186.38,0,0,0
TRON01,TRON,172.43,587.05,3.4,2.4,II0265,II0370
TROV01,TROV,13.94,135.69,9.8,8,II1135,II1145
TROV02,TROV,261.92,2493.49,9.5,5.2,II1145,II1310
TROV03,TROV,48.7,708.79,14.6,13,II1310,IE1335
TRTE01,TRTE,87.41,439.88,5,3.8,II0030,II0050
VEMA05,VEMA,418.2,118560.28,283.5,0,0,0
VEMA06,VEMA,293.9,99038.46,336.98,0,0,0
VEMA06,VEMA,282.2,89963.42,318.79,0,0,0
VERG01,VERG,57.5,894.08,15.5,9.6,II0940,II0955
VERG02,VERG,71.2,863.45,12.1,9.2,II0955,II0990
VERO01,VERO,165.42,872.13,5.3,3.6,II0945,II1015
VERO02,VERO,72.85,309.52,4.3,3,II1015,II1025
VEST01,VEST,36.68,303.41,8.3,3.2,II1015,II1075
VEST02,VEST,35.52,374.37,10.5,7.2,II1075,II1090
VEST03,VEST,123.29,591.62,4.8,3.2,II1020,II1090
VIGN01,VIGN,285.98,2421.19,8.5,5.8,II0630,II0705
VIN001,VIN,232.2,1351.29,5.8,1.6,II0860,IE1045
VIO001,VIO,267.64,2353.67,8.8,5.8,II1265,IE1360
WIDM01,WIDM,114.93,782.41,6.8,4.8,II0365,II0395
WIDM02,WIDM,22.26,157.11,7,5.6,II0395,II0410
WIDM03,WIDM,34.25,247.32,7.2,4.8,II0410,II0435
