id,lung,sup,rtr,id_nodo1,id_nodo2,venezia,cementificato,prof_md1,data1,prof_md2,data2,prof_md3,data3
2095,93.97,953.35,F,228,232,T,F,-1.21,2000/10/20,-1.31,2002/12/18,0.00,
2096,61.62,946.07,F,181,184,T,F,-1.31,2000/10/20,-1.47,2002/12/18,0.00,
2097,95.54,1024.03,F,184,191,T,F,-1.50,2000/10/20,-1.56,2002/12/18,0.00,
2098,205.50,9439.03,F,191,228,T,F,-1.40,1999/04/10,0.00,,0.00,
2099,103.49,5051.35,F,228,244,T,F,-1.63,1999/04/10,0.00,,0.00,
2100,216.07,6934.02,F,223,244,T,F,-1.61,2000/12/04,0.00,,0.00,
2101,141.87,6571.23,F,173,191,T,F,-1.67,1999/04/10,0.00,,0.00,
3015,136.45,1480.21,F,1031,1048,F,F,0.00,,0.00,,0.00,
3016,254.48,20603.23,F,1033,1050,F,F,0.00,,0.00,,0.00,
3017,79.51,619.89,F,1080,1082,F,F,0.00,,0.00,,0.00,
3018,318.78,3265.81,F,1065,1036,F,F,0.00,,0.00,,0.00,
3019,248.90,2832.23,F,1066,1037,F,F,0.00,,0.00,,0.00,
3020,309.60,6212.18,F,1067,1038,F,F,0.00,,0.00,,0.00,
3021,277.12,4812.30,F,1039,1077,F,F,0.00,,0.00,,0.00,
3022,141.32,1667.91,F,1039,1040,F,F,0.00,,0.00,,0.00,
3023,61.50,979.14,F,1041,1079,F,F,0.00,,0.00,,0.00,
3024,106.31,1123.99,F,1042,1041,F,F,0.00,,0.00,,0.00,
3025,119.25,2384.20,F,1042,1043,F,F,0.00,,0.00,,0.00,
3026,100.02,1205.10,F,1043,1044,F,F,0.00,,0.00,,0.00,
3027,311.29,4629.89,F,1040,1111,F,F,0.00,,0.00,,0.00,
3028,193.33,4421.79,F,1083,1084,F,F,0.00,,0.00,,0.00,
3029,89.45,1415.14,F,1028,1026,F,F,-0.75,1998/09/01,0.00,,0.00,
3030,95.53,1381.39,F,1022,1026,F,F,-1.18,1999/04/28,0.00,,0.00,
3031,154.64,1459.40,F,1011,1022,F,F,0.00,,0.00,,0.00,
3032,67.50,413.15,F,1025,1026,F,F,-1.15,1998/09/01,0.00,,0.00,
3033,180.98,2706.49,F,1022,1024,F,F,-1.24,1999/04/28,0.00,,0.00,
2102,131.34,1229.84,F,281,127,T,F,0.00,,0.00,,0.00,
2103,71.62,457.20,F,283,154,T,F,0.00,,0.00,,0.00,
2104,155.01,2213.90,F,154,280,T,F,-2.38,1999/05/01,0.00,,0.00,
2105,89.91,1353.60,F,280,141,T,F,-2.64,1999/05/01,0.00,,0.00,
2106,182.24,1264.42,F,144,284,T,F,0.00,,-1.20,2002/12/18,0.00,
2107,57.60,324.23,F,163,284,T,F,0.00,,0.00,,0.00,
2108,71.69,835.48,F,167,275,T,F,0.00,,-1.21,2002/12/18,0.00,
2109,188.71,2405.54,F,175,275,T,F,0.00,,-1.21,2002/12/18,0.00,
2110,42.76,412.09,F,203,276,T,F,0.00,,0.00,,0.00,
2111,104.60,815.04,F,203,277,T,F,-0.81,1999/03/23,0.00,,0.00,
2112,77.54,745.88,F,225,277,T,F,0.00,,-1.05,2002/12/18,0.00,
2113,126.06,1172.11,F,214,278,T,F,0.00,,-1.04,2002/12/18,0.00,
2114,89.84,723.26,F,207,278,T,F,0.00,,-1.19,2002/12/18,0.00,
2115,134.92,1425.21,F,207,271,T,F,-1.78,2000/07/31,-1.64,2002/12/18,0.00,
2116,127.19,1375.76,F,252,271,T,F,-1.62,2000/07/31,-1.57,2002/12/18,0.00,
2117,101.77,994.88,F,230,269,T,F,-1.51,2000/09/14,0.00,,0.00,
2118,59.05,599.49,F,230,270,T,F,-1.49,2000/09/13,0.00,,0.00,
2119,141.02,1067.81,F,251,270,T,F,-1.35,2000/09/13,0.00,,0.00,
2120,78.21,499.59,F,273,253,T,F,-1.36,1999/05/13,0.00,,0.00,
2121,55.27,457.88,F,273,272,T,F,-1.17,1999/05/13,0.00,,0.00,
2122,86.26,682.52,F,209,269,T,F,-1.41,2000/09/14,0.00,,0.00,
2123,169.72,1984.37,F,279,193,T,F,0.00,,-1.33,2002/12/18,0.00,
2124,122.26,1226.85,F,154,279,T,F,0.00,,-1.28,2002/12/18,0.00,
