MORO,MORO01,MORO1
MORT,MORT01,
MRTI1,MRTI01,
MRTI2,MRTI02,
MUNE,MUNE01,
MUTI,MUTI01,
NICO1,NICO01,
NICO2,NICO02,
NOAL1,NOAL01,
NOAL2,NOAL02,
NOAL3,NOAL03,
NOAL4,NOAL04,
NOVO1,NOVO01,
NOVO2,NOVO02,
NOVO3,NOVO03,
NOVO4,NOVO04,
OGNI1,OGNI01,
OGNI2,OGNI02,
OGNI3,OGNI03,
ORIO1,ORIO01,
ORIO2,ORIO02,
ORIO3,ORIO03,
ORSE,ORSE01,
ORSO,ORSO01,
ORTO1,ORTO01,
ORTO2,ORTO02,
ORTO3,ORTO03,
PALA,PALA01,
PANA1,PANA01,
PANA2,PANA02,
PANA3,PANA03,
PANT,PANT01,
PERG,PERG01,
PEST1,PEST01,
PEST2,PEST02,
PIER1,PIER01,
PIER2,PIER02,
PIER3,PIER03,
PIET,PIET01,
PIOM1,PIOM01,
PIOM2,PIOM02,
PLON1,PLON01,
PLON2,PLON02,
POLO1,POLO01,
POLO2,POLO02,
POLO3,POLO03,
POLO4,POLO04,
POLO5,POLO05,
PPIC1,PPIC01,
PPIC2,PPIC02,
PPIC3,PPIC03,
PRIU1,PRIU01,
PRIU2,PRIU02,
PRIU3,PRIU03,
PROC,PROC01,
PROV1,PROV01,
PROV2,PROV02,
QUIN,QUIN01,
RACH1,RACH01,
RACH2,RACH02,
RAFF1,RAFF01,
RAFF2,RAFF02,
REAL,REAL01,
ROMI,ROMI01,
SACB1,SACB01,
SACB2,SACB02,
SACF1,SACF01,
SACF2,SACF02,
SACF3,SACF03,
SACM,SACM01,
SALU1,SALU01,
SALU2,SALU02,
SALV,SALV01,
SANT,SANT01,
SCOA1,SCOA01,
SCOA2,SCOA02,
SCOM1,SCOM01,
SCOM2,SCOM02,
SCUD1,SCUD01,
SCUD2,SCUD02,
SEBA,SEBA01,
SENS1,SENS01,
SENS2,SENS02,
SENS3,SENS03,
SENS4,SENS04,
SENS5,SENS05,
SENS6,SENS06,
SERV1,SERV01,
SERV2,SERV02,
SEVE1,SEVE01,
SEVE2,SEVE02,
STIN,STIN01,
TANA1,TANA01,
TANA2,TANA02,
TANA3,TANA03,
TEDE,TEDE01,TEDE1
TENT1,TENT01,
TENT2,TENT02,
TERE1,TERE01,
TERE2,TERE02,
TETT1,TETT01,
TETT2,TETT02,
TOLA1,TOLA01,
TOLA2,TOLA02,
TOLE,TOLE01,
TOMA,TOMA01,
TORE,TORE01,
TRAP,TRAP01,
TRAS,TRAS01,
TREP1,TREP01,
TREP2,TREP02,
TREP3,TREP03,
TRON,TRON01,
TROV1,TROV01,
TROV2,TROV02,
TROV3,TROV03,
TRTE,TRTE01,
VERG1,VERG01,
VERG2,VERG02,
VERO1,VERO01,
VERO2,VERO02,
VEST1,VEST01,
VEST2,VEST02,
VEST3,VEST03,
VIGN,VIGN01,VIGN1
VIN,VIN001,
VIO,VIO001,
WIDM1,WIDM01,
WIDM2,WIDM02,
WIDM3,WIDM03,
ZANI,ZANI01,
ZECA,ZECA01,
ZECC,ZECC01,
ZIRA1,ZIRA01,
ZIRA2,ZIRA02,
ZOBE,ZOBE01,
ZUAN,ZUAN01,
ZULI,ZULI01,
GRAN10,,
GRAN11,,
GRAN12,,
GRAN13,,
GRAN14,,
GRAN15,,
GRAN16,,
GRAN17,,
GRAN18,,
GRAN19,,
GRAN20,,
GRAN21,,
GRAN22,,
GRAN23,,
GRAN24,,
GRAN25,,
GRAN26,,
GRAN27,,
GRAN28,,
GRAN29,,
GRAN30,,
GRAN31,,
GRAN32,,
GRAN33,,
GRAN34,,
GRAN35,,
GRAN36,,
GRAN37,,
GRAN38,,
GRAN39,,
GRAN40,,
GRAN41,,
AMAV01,,
ASSA01,,
ASSA02,,
BASS01,,
BASS02,,
BEAT01,,
BEAT02,,
CANA01,,
CAND01,,
CANT01,,
CATM01,,
CDIE01,,
CDON01,,
CDON02,,
CGRA01,,
CGRA02,,
CGRA03,,
CGRA04,,
CIMI01,,
COLE01,,
CSER01,,
CTEO01,,
CTIA01,,
DEM101,,
DEM201,,
DEMU01,,
DROM01,,
DROM02,,
FALB01,,
FORT01,,
FORT02,,
FUOC01,,
GIUD01,,
LEPA01,,
LEPA02,,
LEPA03,,
MALA01,,
MALA02,,
MAVA01,,
ONGA01,,
PARM01,,
PONT01,,
ROVI01,,
SCUO01,,
SSER01,,
SVEV01,,
TASS01,,
TEOD01,,
TEOD02,,
TERR01,,
TPER01,,
VETR01,,
FNUO1,FNUO01,
FNUO2,FNUO02,
FNUO3,FNUO03,
FNUO4,FNUO04,
FNUO5,FNUO05,
FNUO6,FNUO06,
FNUO7,FNUO07,
FNUO8,FNUO08,
FNUO9,FNUO09,
FNUO10,FNUO10,
FNUO11,FNUO11,
BACI01,,
BACI02,,
BACI03,,
BACI04,,
BACI05,,
BACI06,,
BACI07,,
BACI08,,
BACI09,,
BACI10,,
BACI11,,
BACI12,,
BACI13,,
BACI14,,
BACI15,,
BACI16,,
GIUD02,,
GIUD03,,
GIUD04,,
GIUD05,,
GIUD06,,
GIUD07,,
GIUD08,,
GIUD09,,
GIUD10,,
GIUD11,,
GIUD12,,
VEMA05,,
VEMA06,,
CALA01,,
CALA02,,
CALA03,,
DELE01,,
NAVI01,,
NAVI02,,
NAVI03,,
NAVI04,,
NAVI05,,
NAVI06,,
NAVI07,,
NICL04,,
SECO01,,
SECO02,,
SECO03,,
TRNC01,,
