"primary_address_id","wiki_friendly_title","secondary_address_id","setiere_code","sestiere_name","street_name","street_number","sestiere_address","street_and_number","accessory_addresses","latitude","longitude"
"0319004129_","Store location - 0319004129_","","CS","Castello","Riva Dei Schiavoni","4129","CS4129","Riva Dei Schiavoni 4129","","45.4338473","12.3468503"
"0319004229_","Store location - 0319004229_","","CS","Castello","Calle Dei Albanesi","4229","CS4229","Calle Dei Albanesi 4229","","45.43455268","12.34144946"
"0319004236_","Store location - 0319004236_","","CS","Castello","Calle Dei Albanesi","4236","CS4236","Calle Dei Albanesi 4236","","45.4348111","12.3415028"
"0319004254_","Store location - 0319004254_","","CS","Castello","Calle Dei Albanesi","4254","CS4254","Calle Dei Albanesi 4254","","45.43456535","12.34141561"
"0319004263_","Store location - 0319004263_","","CS","Castello","Calle Dei Albanesi","4263","CS4263","Calle Dei Albanesi 4263","","45.4347004","12.3414521"
"0319004267_","Store location - 0319004267_","","CS","Castello","Calle Dei Albanesi","4267","CS4267","Calle Dei Albanesi 4267","","45.4348021","12.3414749"
"0319004269A","Store location - 0319004269A","","CS","Castello","Calle Dei Albanesi","4269A","CS4269A","Calle Dei Albanesi 4269A","","45.4348981","12.3414922"
"0319004316_","Store location - 0319004316_","","CS","Castello","Ruga Giuffa Santa Apollonia","4316","CS4316","Ruga Giuffa Santa Apollonia 4316","","45.43501211","12.34080586"
"0319004402_","Store location - 0319004402_","","CS","Castello","Fondamenta Del Rimedio","4402","CS4402","Fondamenta Del Rimedio 4402","","45.4360089","12.3410067"
"0319004421A","Store location - 0319004421A","","CS","Castello","Calle Del Rimedio","4421A","CS4421A","Calle Del Rimedio 4421A","","45.436053","12.3407038"
"0319004452A","Store location - 0319004452A","","CS","Castello","Calle De La Sacrestia","4452A","CS4452A","Calle De La Sacrestia 4452A","","45.4355076","12.3421292"
"0319004474_","Store location - 0319004474_","","CS","Castello","Calle Pianton","4474","CS4474","Calle Pianton 4474","","45.4354872","12.3422515"
"0319004491_","Store location - 0319004491_","","CS","Castello","Calle De La Sacrestia","4491","CS4491","Calle De La Sacrestia 4491","","45.4354928","12.3420948"
"0319004500A","Store location - 0319004500A","","CS","Castello","Calle Rimpetto La Sacrestia","4500A","CS4500A","Calle Rimpetto La Sacrestia 4500A","","45.4353586","12.3417323"
"0319004506_","Store location - 0319004506_","","CS","Castello","Calle Rimpetto La Sacrestia","4506","CS4506","Calle Rimpetto La Sacrestia 4506","","45.43523152","12.34171214"
"0319004516_","Store location - 0319004516_","","CS","Castello","Salizada San Provolo","4516","CS4516","Salizada San Provolo 4516","","45.4350141","12.34191154"
"0319004683C","Store location - 0319004683C","","CS","Castello","Campo San Zaccaria","4683C","CS4683C","Campo San Zaccaria 4683C","","45.4346999","12.3429171"
"0319004714A","Store location - 0319004714A","","CS","Castello","Sotoportego San Provolo","4714A","CS4714A","Sotoportego San Provolo 4714A","","45.43531019","12.34276399"
"0319004719_","Store location - 0319004719_","","CS","Castello","Calle San Provolo","4719","CS4719","Calle San Provolo 4719","","45.43546554","12.34292533"
"0319004897B","Store location - 0319004897B","","CS","Castello","Ruga Giuffa","4897B","CS4897B","Ruga Giuffa 4897B","","45.43642301","12.34224457"
"0319004903_","Store location - 0319004903_","","CS","Castello","Calle De L'Arco Detta Bon","4903","CS4903","Calle De L'Arco Detta Bon 4903","","45.4364558","12.3425464"
"0319004933_","Store location - 0319004933_","","CS","Castello","Salizada Zorzi","4933","CS4933","Salizada Zorzi 4933","","45.43610131","12.34291909"
"0319004942_","Store location - 0319004942_","","CS","Castello","Salizada Zorzi","4942","CS4942","Salizada Zorzi 4942","","45.4360724","12.3427834"
"0319004959_","Store location - 0319004959_","","CS","Castello","Calle Corte Rota","4959","CS4959","Calle Corte Rota 4959","","45.43564524","12.34291067"
"0319004976B","Store location - 0319004976B","","CS","Castello","Fondamenta De L'Osmarin","4976B","CS4976B","Fondamenta De L'Osmarin 4976B","","45.43563893","12.34393141"
"0319005000_","Store location - 0319005000_","","CS","Castello","Campo San Severo","5000","CS5000","Campo San Severo 5000","","45.4359523","12.3434008"
"0319005029A","Store location - 0319005029A","","CS","Castello","Fondamenta San Lorenzo","5029A","CS5029A","Fondamenta San Lorenzo 5029A","","45.4361457","12.3442737"
"0319005032_","Store location - 0319005032_","","CS","Castello","Fondamenta San Lorenzo","5032","CS5032","Fondamenta San Lorenzo 5032","","45.43624301","12.3442611"
"0319005087A","Store location - 0319005087A","","CS","Castello","Borgoloco San Lorenzo","5087A","CS5087A","Borgoloco San Lorenzo 5087A","","45.4370574","12.3429827"
"0319005134_","Store location - 0319005134_","","CS","Castello","Calle Larga San Lorenzo","5134","CS5134","Calle Larga San Lorenzo 5134","","45.4372642","12.343054"
"0319005134A","Store location - 0319005134A","","CS","Castello","Calle Larga San Lorenzo","5134A","CS5134A","Calle Larga San Lorenzo 5134A","","45.43726","12.3429815"
"0319005142_","Store location - 0319005142_","","CS","Castello","Calle De La Madoneta","5142","CS5142","Calle De La Madoneta 5142","","45.4373751","12.342919"
"0319005162A","Store location - 0319005162A","","CS","Castello","Calle De La Madoneta","5162A","CS5162A","Calle De La Madoneta 5162A","","45.4376169","12.3429741"
"0319005164_","Store location - 0319005164_","","CS","Castello","Calle De La Madoneta","5164","CS5164","Calle De La Madoneta 5164","","45.4376526","12.342979"
"0319005185_","Store location - 0319005185_","","CS","Castello","Calle Longa Santa Maria Formosa","5185","CS5185","Calle Longa Santa Maria Formosa 5185","","45.4377367","12.34201307"
"0319005186_","Store location - 0319005186_","","CS","Castello","Calle Longa Santa Maria Formosa","5186","CS5186","Calle Longa Santa Maria Formosa 5186","","45.43771505","12.34195088"
"0319005223_","Store location - 0319005223_","","CS","Castello","Calle Longa Santa Maria Formosa","5223","CS5223","Calle Longa Santa Maria Formosa 5223","","45.437685","12.34185466"
"0319005233_","Store location - 0319005233_","","CS","Castello","Calle Longa Santa Maria Formosa","5233","CS5233","Calle Longa Santa Maria Formosa 5233","","45.43757906","12.34154866"
