"!!ID","!!IDName","!ImageUrl","Dati Generali_Data fine","Dati Generali_Data inizio","Dati Generali_Descrizione","Dati Generali_Durata","Dati Generali_Famiglia","Dati Generali_Stato","Dati Generali_Zona","Intervento_Importo lavori effettivo","Intervento_Importo lavori effettivo (dl)","Intervento_Importo lavori previsto","Intervento_Tipologia intervento","Segnalazione_Tipologia elemento","Sopralluogo_Tipologia anomalia","Sopralluogo_Tipologia elemento"
"33263","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/25854/360/220/","2012-06-21","2012-06-08","Dorsoduro f.ta San Sebastiano civ 2577","13 giorni","Venezia Sud 2012","risolto","Dorsoduro",,,,"muri di sponda","muri di sponda","lesione","muro di sponda"
"29343","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/28558/360/220/","2011-02-03","2011-01-31","Murano - Fondamenta Manin civ.75 e Campiello Turella","3 giorni","Venezia Nord 2011","risolto","Murano",,"",,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"28603","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/27859/360/220/","2011-02-03","2011-01-24","Castello, Campo San Giuseppe, 904/C","10 giorni","Venezia Nord 2011","risolto","Castello",,"",,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"31243","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/19941/360/220/","2011-03-03","2011-02-28","San Polo, 1084","3 giorni","Venezia Sud","risolto","San Polo",,,,"fognatura - reti fognarie","fognatura","malfunzionamento","rete nera, mista o pluviale"
"10703","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/13972/360/220/",,"2010-03-24","Santa Croce - Ponte Santa Chiara",,"Venezia Sud","risolto","Santa Croce",,,,,"ponti (e pontili)",,
"31970","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/16503/360/220/","2011-07-19","2011-07-18","Ramo del Magazen (San Polo)","1 giorno","Venezia Sud","risolto","San Polo",,,,"muri di sponda",,"cedimento","pavimentazione stradale"
"10704","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/13973/360/220/","2010-03-25","2010-03-25","Campo San Silvestro (San Polo)",,"Venezia Sud","risolto","San Polo",,,,"altri interventi",,"altro","altro"
"5182","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/9681/360/220/","2009-10-14","2009-10-14","ISPEZIONE CANNAREGIO FONDAMENTA ZEN CIV 4938",,"Venezia Nord","risolto","Cannaregio","","",,"pavimentazione",,"cedimento","pavimentazione stradale"
"31971","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/16506/360/220/","2011-08-02","2011-07-22","Ruga Vecchia San Giovanni 474 - 475 (San Polo)","11 giorni","Venezia Sud","risolto","San Polo",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"31972","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/16509/360/220/","2011-09-02","2011-07-22","Fondamenta del Traghetto (Dorsoduro)","41 giorni","Venezia Sud","risolto","Dorsoduro",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"31973","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/16512/360/220/","2011-09-02","2011-07-22","Campo San Barnaba piedi ponte San Barnaba (Dorsoduro)","41 giorni","Venezia Sud","risolto","Dorsoduro",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"31974","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/16515/360/220/","2011-09-02","2011-07-22","Fondamenta Girardini (Dorsoduro)","41 giorni","Venezia Sud","risolto","Dorsoduro",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"33299","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26353/360/220/",,"2012-06-12","Sant'Elena pontiletto Collegio Morosini",,"Venezia Nord 2012","risolto","Castello",,,,,"altro",,
"33298","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26349/360/220/","2012-06-18","2012-06-12","San Polo Calle dei Botteri civ 1563","5 giorni","Venezia Sud 2012","risolto","San Polo",,,,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"31976","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/16518/360/220/","2011-09-02","2011-07-22","Calle Lunga San Barbaba 2755 (dorsoduro)","41 giorni","Venezia Sud","risolto","Dorsoduro",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"31977","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/16576/360/220/","2011-08-02","2011-07-25","Cannaregio, 1897 - Calle dell'Aseo","8 giorni","Venezia Nord 2011","risolto","Cannaregio",,,,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"33297","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26345/360/220/","2012-06-18","2012-06-12","San Polo calle del campaniel civ 1793d","5 giorni","Venezia Sud 2012","risolto","San Polo",,,,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"5184","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/9784/360/220/","2009-10-21","2009-10-20","Dorsoduro 2885 calle de le Pazienze","1 giorno","Venezia Sud","risolto","Dorsoduro",,,,"segnaletica e anagrafica","arredo, segnaletica","altro","elementi di arredo, segnaletica"
"34399","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24528/360/220/",,"2013-01-28","Santa Croce - Fondamenta Burchielle civ.420",,"Venezia Sud 2012","risolto","Santa Croce",,,,,"ponti (e pontili)",,
"31978","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/16580/360/220/","2011-08-02","2011-07-25","San Polo civ.2910","8 giorni","Venezia Sud","risolto","San Polo",,,,,"fognatura","cedimento","pavimentazione stradale"
"31979","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/16583/360/220/","2011-08-02","2011-07-25","Cannaregio - Ponte della Malvasia","8 giorni","Venezia Nord 2011","risolto","Cannaregio",,,,"pavimentazione","ponti (e pontili)","instabilita elemento","pavimentazione stradale"
"34397","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24521/360/220/",,"2013-01-28","Santa Croce - Rio Tera dei Pensieri civ. 347",,"Venezia Sud 2012","in corso","Santa Croce",,,,"pavimentazione","pavimentazione","lesione","pavimentazione stradale"
"34398","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24525/360/220/",,"2013-01-28","Santa Croce - Fondamenta Burchielle civ.418",,"Venezia Sud 2012","in corso","Santa Croce",,,,,"muri di sponda","lesione","elementi di arredo, segnaletica"
"34396","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24493/360/220/",,"2013-01-28","Cannaregio Calle Ferrau' 917/F",,"Venezia Nord 2012","risolto","Cannaregio",,,,,"fognatura",,
"17826","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/18031/360/220/","2010-08-17","2010-08-06","Cannaregio - Ponte Noris","11 giorni","Venezia Nord","risolto","Cannaregio",,"",,"ponti","ponti (e pontili)","instabilita elemento","pavimentazione ponte"
"26383","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/28102/360/220/","2011-01-04","2011-01-04","Campo de la Lana",,"Venezia Sud","risolto","Santa Croce",,,,"pavimentazione",,"instabilita elemento","pavimentazione stradale"
"33292","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26272/360/220/","2012-06-14","2012-06-12","Cannaregio, Fondamenta dei Ormesini, 2844","2 giorni","Venezia Nord 2012","risolto","Cannaregio",,,,,"pavimentazione","instabilita elemento","muro di sponda"
"17827","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/18085/360/220/","2010-08-26","2010-08-10","Castello - Corte Nova, 2051","16 giorni","Venezia Nord","risolto","Castello",,"",,"pavimentazione","pavimentazione","intervento migliorativo","pavimentazione stradale"
"34395","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24489/360/220/",,"2013-01-28","San Polo - calle san rocco 3078M",,"Venezia Sud 2012","in corso","San Polo",,,,"fognatura - reti fognarie","fognatura","malfunzionamento","caditoia"
"34394","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24486/360/220/",,"2013-01-28","Tronchetto - Piazzale Tronchetto",,"Venezia Sud 2012","in corso","Santa Croce",,,,,"arredo, segnaletica","lesione","elementi di arredo, segnaletica"
"34393","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24483/360/220/",,"2013-01-28","calle cavalli all'interno del campiello",,"Venezia Nord 2012","in corso","Castello",,,,,"pavimentazione","cedimento","pavimentazione stradale"
"33290","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26214/360/220/","2012-06-22","2012-06-11","Giudecca civ 500 ramo del forno","10 giorni","Venezia Sud 2012","risolto","Giudecca",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"17825","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/18027/360/220/","2010-08-23","2010-08-06","Santa croce - Ponte San Pantalon","17 giorni","Venezia Sud","risolto","Dorsoduro",,,,"ponti","ponti (e pontili)","lesione","pavimentazione ponte"
"34392","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24482/360/220/",,"2013-01-28","calle giannantonio moschini 2 murano",,"Venezia Nord 2012","in corso","Murano",,,,,"fognatura",,
"33295","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26283/360/220/","2012-06-21","2012-06-12","Dorsoduro Calle Larga S.Marta civ 2121","9 giorni","Venezia Sud 2012","risolto","Dorsoduro",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"34391","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24481/360/220/",,"2013-01-28","RAMO DEL CIMITERO 14 MURANO",,"Venezia Nord 2012","in corso","Murano",,,,,"pavimentazione",,
"17823","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/18019/360/220/","2010-08-16","2010-08-16","Ponte della Liberta - 5mt prima del semaforo della Rampa del Tronchetto",,"Venezia Sud","risolto","Santa Croce",,,,"pavimentazione","pavimentazione","lesione","pavimentazione stradale"
"33296","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26342/360/220/","2012-06-21","2012-06-12","San Polo, 2309 Rio Terra Secondo","8 giorni","Venezia Sud 2012","risolto","San Polo",,,,,"fognatura","malfunzionamento","caditoia"
"33293","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26275/360/220/","2012-06-21","2012-06-12","Dorsoduro 1720 campo dell'angelo Raffaele","9 giorni","Venezia Sud 2012","risolto","Dorsoduro",,,,"pavimentazione","pavimentazione","lesione","pavimentazione stradale"
"33294","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26279/360/220/","2012-06-21","2012-06-12","Dorsoduro, 179 calle del Traghetto San Gregorio","9 giorni","Venezia Sud 2012","risolto","Dorsoduro",,,,"fognatura - reti fognarie","fognatura","malfunzionamento","caditoia"
"15583","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/14987/360/220/","2010-06-21","2010-06-15","San Marco - Giardini Reali","6 giorni","Venezia Nord","risolto","San Marco",,"",,"fognatura - reti fognarie","fognatura","malfunzionamento","caditoia"
"14043","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15035/360/220/","2010-05-20","2010-05-14","San Marco Calle Dei Orbi 3012","6 giorni","Venezia Nord","risolto","San Marco",,"",,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"14984","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15054/360/220/","2010-06-08","2010-05-30","San Marco-calle Mocenigo Casa Vecchia fronte civico 3327","9 giorni","Venezia Nord","risolto","San Marco",,"",,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"30123","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/19989/360/220/","2011-03-28","2011-02-10","Murano, Bressagio, 25","45 giorni","Venezia Nord 2011","risolto","Murano",,,,"pavimentazione","pavimentazione","intervento migliorativo","pavimentazione stradale"
"31965","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/16432/360/220/","2011-07-27","2011-07-22","Cannaregio Ponte Moro","5 giorni","Venezia Nord 2011","risolto","Cannaregio",,,,"ponti","ponti (e pontili)","instabilita elemento","pavimentazione ponte"
"33287","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26202/360/220/","2012-06-21","2012-06-11","Dorsouro ponte Vinanti","10 giorni","Venezia Sud 2012","risolto","Dorsoduro",,,,"ponti","ponti (e pontili)","instabilita elemento","parapetto ponte"
"31966","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/16436/360/220/","2011-07-18","2011-07-18","Calle del Cappeller 3279 (Dorsoduro)",,"Venezia Sud","risolto","Dorsoduro",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"33286","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26198/360/220/","2012-06-21","2012-06-11","Dorsoduro ponte dell'Accademia","10 giorni","Venezia Sud 2012","risolto","Dorsoduro",,,,"ponti","ponti (e pontili)","lesione","pavimentazione ponte"
"33289","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26210/360/220/","2012-06-18","2012-06-11","Salizzada del Fontego dei Turchi civ 1729","6 giorni","Venezia Sud 2012","risolto","Santa Croce",,,,"elementi di arredo","arredo, segnaletica","instabilita elemento","elementi di arredo, segnaletica"
"17103","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/17865/360/220/","2010-07-22","2010-07-21","San Marco Piazza vicino pili","1 giorno","Venezia Nord","risolto","San Marco",,"",,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"33288","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26206/360/220/","2012-06-21","2012-06-11","Dorsoduro civ 1009-1019 f.ta Priuli","10 giorni","Venezia Sud 2012","risolto","Dorsoduro",,,,"muri di sponda","arredo, segnaletica","altro","muro di sponda"
"31969","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/16445/360/220/","2011-08-25","2011-07-22","Murano - F.ta Venier civ.43","33 giorni","Venezia Nord 2011","risolto","Murano",,,,"muri di sponda","muri di sponda","instabilita elemento","muro di sponda"
"31967","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/16439/360/220/","2011-07-18","2011-07-18","Fondamenta Zattere ai Gesuati fronte imbarcadero Actv (Dorsoduro)",,"Venezia Sud","risolto","Dorsoduro",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"31968","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/16442/360/220/","2011-07-20","2011-07-20","Calle del Luganegher (San Polo)",,"Venezia Sud","risolto","San Polo",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"33280","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26073/360/220/",,"2012-06-11","SANTA CROCE - PIAZZALE ROMA CORSIE BUS A5 - A6",,"Venezia Sud 2012","risolto","Santa Croce",,,,,"pavimentazione",,
"33281","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26074/360/220/","2012-06-14","2012-06-11","CANNAREGIO 3549 - FONDAMENTA DELL'ABBAZIA","2 giorni","Venezia Nord 2012","risolto","Cannaregio",,,"","pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"33282","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26131/360/220/","2012-06-11","2012-06-11","CASTELLO 3303 - SALIZZADA DEI GRECI PONTE DI S. ANTONIN",,"Venezia Nord 2012","risolto","Castello",,,,"segnaletica e anagrafica","arredo, segnaletica","altro","elementi di arredo, segnaletica"
"33283","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26135/360/220/","2012-06-11","2012-06-11","cannaregio calle de la Malvasia",,"Venezia Nord 2012","risolto","Cannaregio",,,,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"33284","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26139/360/220/","2012-07-03","2012-06-11","San polo 1510 f.ta del Banco Salviati","21 giorni","Venezia Sud 2012","risolto","San Polo",,,,"muri di sponda","muri di sponda","instabilita elemento","muro di sponda"
"33285","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/26143/360/220/","2012-11-09","2012-06-11","Santa Croce campo s. Giacomo dell'Orio (pilo)","150 giorni","Venezia Sud 2012","risolto","Santa Croce",,,,"elementi di arredo","arredo, segnaletica","intervento migliorativo","elementi di arredo, segnaletica"
"29323","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/28553/360/220/","2011-02-03","2011-01-31","San Marco civ.127","3 giorni","Venezia Nord 2011","risolto","San Marco",,"",,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"2008","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1404/360/220/","2008-11-11","2008-10-29","Cannaregio 202-221 Calle Gioachina","13 giorni","Venezia Nord","risolto","Cannaregio",,,,"pavimentazione",,"lesione","pavimentazione stradale"
"33483","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22398/360/220/","2012-07-20","2012-07-19","Castello, 2415","1 giorno","Venezia Nord 2012","risolto","Castello",,,,,"pavimentazione","cedimento","pavimentazione stradale"
"33482","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22394/360/220/","2012-07-24","2012-07-18","Santa Croce 664/D calle delle Chioverette","5 giorni","Venezia Sud 2012","risolto","Santa Croce",,,,"fognatura - reti fognarie","fognatura","malfunzionamento","caditoia"
"2009","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1407/360/220/","2008-11-13","2008-11-06","San Marco ramo secondo barozzi civ 2153","6 giorni","Venezia Nord","risolto","San Marco",,,,"altri interventi",,"malfunzionamento","rete nera, mista o pluviale"
"7205","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/11498/360/220/","2010-03-15","2010-02-04","Giudecca 543F, 543N, 543O; 543D; Campiello Berlomeni","39 giorni","Venezia Sud","risolto","Giudecca",,,,"elementi di arredo","arredo, segnaletica","intervento migliorativo","elementi di arredo, segnaletica"
"33481","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22333/360/220/","2012-07-20","2012-07-18","Castello, Calle del Prete Zoto, 728/A","1 giorno","Venezia Nord 2012","risolto","Castello",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"2006","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1396/360/220/","2008-11-07","2008-11-05","Castello Sottoportico dei Preti","2 giorni","Venezia Nord","risolto","Castello",,,,"pavimentazione","pavimentazione","malfunzionamento","pavimentazione stradale"
"2007","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1400/360/220/","2008-11-06","2008-11-06","S. Marco, 3522 - Calle del Pestrin",,"Venezia Nord","risolto","San Marco",,,,"altri interventi","altro","lesione","altro"
"2004","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1655/360/220/","2008-11-11","2008-11-06","Cannaregio 6141 Calle Larga Giacinto Gallina","5 giorni","Venezia Nord","risolto","Cannaregio",,,,"fognatura - impianti","fognatura","malfunzionamento","rete nera, mista o pluviale"
"2005","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1393/360/220/","2008-11-11","2008-11-06","Cannaregio, 3622 - Calle Minio","5 giorni","Venezia Nord","risolto","Cannaregio",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"2002","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1647/360/220/","2008-11-11","2008-11-05","Ponte della Malvasia a Cannaregio","6 giorni","Venezia Nord","risolto","Cannaregio",,,,"pavimentazione","pavimentazione","lesione","pavimentazione stradale"
"2003","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1651/360/220/","2008-11-10","2008-11-05","San Marco 5401 Campo San Bartolomeo","5 giorni","Venezia Nord","risolto","San Marco",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"14783","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/14705/360/220/","2010-06-21","2010-05-26","San Polo ponte delle Beccarie","26 giorni","Venezia Sud","risolto","San Polo",,,,"ponti","ponti (e pontili)","lesione","pavimentazione ponte"
"34529","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24609/360/220/",,"2013-02-19","San Marco, 3082 - Calle Malipiero",,"Venezia Nord 2012","in corso","San Marco",,,,,"pavimentazione","cedimento","pavimentazione stradale"
"34527","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24603/360/220/","2013-02-21","2013-02-19","san marco corte delle ancore 900","2 giorni","Venezia Nord 2012","risolto","San Marco",,,,,"fognatura","malfunzionamento","rete nera, mista o pluviale"
"8323","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/12544/360/220/","2010-02-26","2010-02-22","Cannaregio civ 4589","4 giorni","Venezia Nord","risolto","Cannaregio","","",,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"34521","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24551/360/220/",,"2013-02-18","SANTA CROCE 765",,"Venezia Sud 2012","in corso","Santa Croce",,,,,"fognatura","malfunzionamento","caditoia"
"34520","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24547/360/220/","2013-02-26","2013-02-18","Castello - Riva degli Schiavoni","8 giorni","Venezia Nord 2012","risolto","Castello",,,,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"33488","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22470/360/220/","2012-08-02","2012-07-19","Dorsoduro - Calle Larga Santa Marta - civ 2132","14 giorni","Venezia Sud 2012","risolto","Dorsoduro",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"19204","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/23351/360/220/","2010-09-06","2010-09-06","Ramo Primo della Galeazza - Ramo due Mori (San Polo)",,"Venezia Sud","risolto","San Polo",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"33486","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22405/360/220/","2012-07-20","2012-07-19","CANNAREGIO 3599 - PONTE DELLA MISERICORDIA","1 giorno","Venezia Nord 2012","risolto","Cannaregio",,,,"ponti","ponti (e pontili)","instabilita elemento","parapetto ponte"
"34525","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24599/360/220/",,"2013-02-19","Castello riva di Ca' di Dio pontile ACTV",,"Venezia Nord 2012","in corso","Castello",,,,,"pavimentazione","lesione","pavimentazione stradale"
"33487","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22409/360/220/","2012-07-23","2012-07-19","Castello civ. 1952","4 giorni","Venezia Nord 2012","risolto","Castello",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"34524","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24597/360/220/",,"2013-02-18","SAN MARCO 493","7 giorni","Venezia Nord 2012","in corso","San Marco",,,,,,"cedimento","pavimentazione stradale"
"34523","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24594/360/220/",,"2013-02-18","S.Marco riva del Ferro",,"Venezia Nord 2012","in corso","San Marco",,,,,"pavimentazione","cedimento","pavimentazione stradale"
"34522","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24591/360/220/",,"2013-02-18","Santa Croce 1581 calle del Tintor dopo Cartoleria",,"Venezia Sud 2012","in corso","Santa Croce",,,,,"pavimentazione","cedimento","pavimentazione stradale"
"33485","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22401/360/220/","2012-07-20","2012-07-19","Castello, Calle del Pestrin, 3879","1 giorno","Venezia Nord 2012","risolto","Castello",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"33492","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22483/360/220/","2012-07-24","2012-07-20","San Polo ponte di Rialto","3 giorni","Venezia Sud 2012","risolto","San Polo",,,,"ponti","ponti (e pontili)","intervento migliorativo","parapetto ponte"
"24283","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/27062/360/220/","2010-12-16","2010-11-16","Castello Campiello del Piovan civ 3765","30 giorni","Venezia Nord","risolto","Castello",,,,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"33491","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22479/360/220/","2012-10-30","2012-07-20","PIAZZALE ROMA - RAMPA SANTA CHIARA","102 giorni","Venezia Sud 2012","risolto","Santa Croce",,,,"segnaletica e anagrafica","arredo, segnaletica","intervento migliorativo","pavimentazione stradale"
"33494","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22544/360/220/","2012-07-23","2012-07-20","SAN MARCO 3088 - 3088A - MONTANTE CALLE DEGLI STAGNERI CALLE DEGLI ORBI","2 giorni","Venezia Nord 2012","risolto","San Marco",,,,,"altro","instabilita elemento","altro"
"33493","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22542/360/220/","2012-07-20","2012-07-20","Castello fondamente de Fasa l'Arsenal civico 2414",,"Venezia Nord 2012","risolto","Castello",,,,,,"cedimento","pavimentazione stradale"
"33490","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22476/360/220/","2012-07-23","2012-07-20","MURANO PIAZZALE DE LA COLONNA","3 giorni","Venezia Nord 2012","risolto","Murano",,,,,"fognatura","malfunzionamento","rete nera, mista o pluviale"
"34515","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24500/360/220/",,"2013-02-14","cannaregio 1370",,"Venezia Nord 2012","in corso","Cannaregio",,,,,"fognatura","malfunzionamento","caditoia"
"34518","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24544/360/220/",,"2013-02-15","Santa Corce, Piazzale Roma, bivio Tronchetto",,"Venezia Sud 2012","in corso","Santa Croce",,,,,"pavimentazione","lesione","pavimentazione stradale"
"34517","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24541/360/220/",,"2013-02-15","Castello - Calle Del Magazen, 756",,"Venezia Nord 2012","in corso","Castello",,,,,"arredo, segnaletica","altro","elementi di arredo, segnaletica"
"10623","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/13896/360/220/","2010-03-29","2010-03-25","San Marco, 1663 Corte di Piscina di Frezzaria","4 giorni","Venezia Nord","risolto","San Marco",,,,"fognatura - reti fognarie","pavimentazione","instabilita elemento","rete nera, mista o pluviale"
"33499","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/22618/360/220/","2012-07-31","2012-07-23","Cannaregio quartire S.Girolamo civico di riferimento 3049","8 giorni","Venezia Nord 2012","risolto","Cannaregio",,,,,"fognatura","altro","rete nera, mista o pluviale"
"34510","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/24450/360/220/",,"2013-02-13","Santa Croce - Rampa Santa Chiara e bivio Tronchetto",,"Venezia Sud 2012","risolto","Santa Croce",,,,,"altro",,
"23783","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/27245/360/220/","2010-11-13","2010-11-12","Santa Croce civ.552-554","1 giorno","Venezia Sud","risolto","Santa Croce",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
