"!!ID","!!IDName","!ImageUrl","Dati Generali_Data fine","Dati Generali_Data inizio","Dati Generali_Descrizione","Dati Generali_Durata","Dati Generali_Famiglia","Dati Generali_Stato","Dati Generali_Zona","Intervento_Importo lavori effettivo","Intervento_Importo lavori effettivo (dl)","Intervento_Importo lavori previsto","Intervento_Tipologia intervento","Segnalazione_Tipologia elemento","Sopralluogo_Tipologia anomalia","Sopralluogo_Tipologia elemento"
"32243","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15544/360/220/","2011-10-14","2011-10-07","Dorsoduro, 3298 - Calle di Mezzo della Vida","7 giorni","Venezia Sud","risolto","Dorsoduro",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"23823","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/27254/360/220/","2010-12-06","2010-11-15","Cannaregio Ponte Ghetto Vecchio","21 giorni","Venezia Nord","risolto","Cannaregio",,,,"ponti","ponti (e pontili)","instabilita elemento","pavimentazione ponte"
"9563","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/12262/360/220/","2010-03-24","2010-03-04","Santa Croce, ponte dei tre ponti","20 giorni","Venezia Sud","risolto","Santa Croce",,,,"ponti","ponti (e pontili)","lesione","pavimentazione ponte"
"32249","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15600/360/220/","2011-10-14","2011-10-07","SAN POLO 57","7 giorni","Venezia Sud","risolto","San Polo",,,,"fognatura - reti fognarie","fognatura","malfunzionamento","rete nera, mista o pluviale"
"3426","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5735/360/220/","2009-06-26","2009-05-13","Murano - Corte Bigaglia, 8","44 giorni","Venezia Nord","risolto","Murano",,,,"fognatura - reti fognarie","altro","malfunzionamento","caditoia"
"4008","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/8320/360/220/","2009-08-31","2009-08-18","San Marco 101 Procuratie Vecchie Piazza San Marco","13 giorni","Venezia Nord","risolto","San Marco",,,,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"4009","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/8324/360/220/","2009-09-02","2009-08-24","Cannaregio 6152 Sotoportego de la Panada","9 giorni","Venezia Nord","risolto","Cannaregio",,,,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"3425","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/6686/360/220/","2009-05-21","2009-05-12","Castello, 185-186 - Calle Riello","9 giorni","Venezia Nord","risolto","Castello",,,,"pavimentazione","pavimentazione","intervento migliorativo","pavimentazione stradale"
"3428","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5743/360/220/","2009-06-05","2009-05-13","Castello, 4968/A - F.ta dell'Osmarin","23 giorni","Venezia Nord","risolto","Castello",,,,"muri di sponda","altro","altro","parapetto stradale"
"32240","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/16570/360/220/","2011-10-21","2011-10-05","S.Marco - F.ta dei Giardini Ex Reali","15 giorni","Venezia Nord 2011","risolto","San Marco",,,,"pavimentazione","pavimentazione","intervento migliorativo","pavimentazione stradale"
"3422","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/6631/360/220/",,"2009-05-12","S.Croce - Piazzale Roma",,"Venezia Sud","risolto","Santa Croce",,,,,"pavimentazione",,
"4004","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/6934/360/220/","2009-08-21","2009-08-21","San Marco - Corte dell'Albero",,"Venezia Nord","risolto","San Marco",,,,"pavimentazione","altro","instabilita elemento","altro"
"4005","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/6938/360/220/","2009-09-07","2009-08-21","Murano - Calle del Paradiso","17 giorni","Venezia Nord","risolto","Murano",,,,"fognatura - reti fognarie","altro","intervento migliorativo","caditoia"
"4951","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/8251/360/220/","2009-10-15","2009-10-12","Dorsoduro altezza civ. 1710 Campo dietro il Cimitero","3 giorni","Venezia Sud","risolto","Dorsoduro",,,,"fognatura - reti fognarie","fognatura","malfunzionamento","caditoia"
"3421","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/6627/360/220/","2009-05-12","2009-05-11","S.Marco, 5146 - Pescheria San Bartolomeo","1 giorno","Venezia Nord","risolto","San Marco",,,,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
