"!!Job Item Id","!!Job Item Type","!Job Id","!Job Name","job_SMUs","SMUs","job_stato commessa","job_opera pubblica","job_rein","job_tipo intervento","job_direttore lavori","job_impresa","job_numero commessa","superficie","data di compilazione","fango riscontrato","zoom","data inizo lavori","casseri","costo discarica","mc scavo umido","mc scavo secco","data fine lavori","ID UTP","costo scavo umido","lunghezza","costo scavo secco","fango certificato","comunicazioni di servizio","batimetria media","Y","volume fango stimato","stato avanzamento lavori","X","fondo di progetto","note","codice UTP","data modifica","direttore lavori","data validazione","validatore"
"00001SC0069","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","152.09 m2","","NR","2234.13677951961","","assenti","0 ?","93","0","1/1/1993 1:01:00 AM","00001SC0069","0 ?","37.8 m","0 ?","C","","88 cm","5034959.99370261","139.92 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0070","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","380.2 m2","","NR","2234.13677951961","","assenti","0 ?","228","0","1/1/1993 1:01:00 AM","00001SC0070","0 ?","67.5 m","0 ?","C","","67 cm","5034959.99370261","429.63 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0080","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","2629.6 m2","","NR","2234.13677951961","","assenti","0 ?","1508","0","1/1/1993 1:01:00 AM","00001SC0080","0 ?","319.5 m","0 ?","NR","","125 cm","5034959.99370261","1446.28 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0085","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","1925.79 m2","","NR","2234.13677951961","","assenti","0 ?","747","0","1/1/1991 1:01:00 AM","00001SC0085","0 ?","139.5 m","0 ?","D","","151 cm","5034959.99370261","558.48 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0086","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","596.19 m2","","NR","2234.13677951961","","assenti","0 ?","231","0","1/1/1991 1:01:00 AM","00001SC0086","0 ?","49 m","0 ?","D","","148 cm","5034959.99370261","190.78 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0087","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","1148.48 m2","","NR","2234.13677951961","","assenti","0 ?","452","0","1/1/1991 1:01:00 AM","00001SC0087","0 ?","150 m","0 ?","D","","136 cm","5034959.99370261","505.33 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0088","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","1646.41 m2","","NR","2234.13677951961","","assenti","0 ?","624","0","1/1/1991 1:01:00 AM","00001SC0088","0 ?","185.8 m","0 ?","D","","145 cm","5034959.99370261","576.24 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0090","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","1254.14 m2","","NR","2234.13677951961","","assenti","0 ?","475","0","1/1/1991 1:01:00 AM","00001SC0090","0 ?","176.9 m","0 ?","D","","124 cm","5034959.99370261","702.32 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0091","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","415.71 m2","","NR","2234.13677951961","","assenti","0 ?","164","0","1/1/1991 1:01:00 AM","00001SC0091","0 ?","50.4 m","0 ?","D","","107 cm","5034959.99370261","303.47 m3","terminati","2311117.10729809","180 cm","",,,,,
"00001SC0092","segmenti e intersezioni","00001","Scavi ante PI","[]","[]","collaudi","","Comune","Intervento diffuso","","-","00001","1025.71 m2","","NR","2234.13677951961","","assenti","0 ?","404","0","1/1/1991 1:01:00 AM","00001SC0092","0 ?","153.4 m","0 ?","D","","123 cm","5034959.99370261","584.65 m3","terminati","2311117.10729809","180 cm","",,,,,
