"!!id","!!type","zoom","ID","ID del rio","superficie (m2)","Y","X","jobs","jobItems"
"II0065","intersezioni","50.000000000305","II0065","MISE","183","5035947.68823064","2311025.88610212","[00101, 00232]","[00101SC0005, 00101SC0007, 00101SC0012]"
"II0070","intersezioni","50.0000000000329","II0070","BATE","165","5035939.29966752","2310900.45268569","[00101, 00232]","[00101SC0002, 00101SC0005, 00101SC0006, 00101SC0018]"
"II0075","intersezioni","50.000000000183","II0075","SENS","80","5035925.76198639","2311320.58165159","[00232, 00155]","[00155SC0006, 00155SC0007, 00155SC0010]"
"II0080","intersezioni","49.9999999999398","II0080","CANN","144","5035915.42375724","2310552.98125917","[00232]","[]"
"II0085","intersezioni","49.9999999999838","II0085","MISE","2","5035907.54510676","2311129.252605","[]","[]"
"II0090","intersezioni","50.0000000001875","II0090","ORTO","106","5035891.00793942","2311523.4306826","[00156, 00320, 00232, 00179, II519]","[00320SC0002, 00320SC0015, 00320SC0026, 00179SC0001, 00179SC0004]"
"II0095","intersezioni","49.999999999701","II0095","MISE","62","5035880.34976506","2311201.43186305","[00101, 00232]","[00101SC0008, 00101SC0009, 00101SC0015]"
"II0105","intersezioni","49.9999999998969","II0105","SACM","4","5035876.25046723","2311542.5042144","[]","[]"
"II0110","intersezioni","49.9999999999602","II0110","MISE","123","5035865.97222779","2311228.75162564","[00101, 00232]","[00101SC0009, 00101SC0010, 00101SC0016]"
"II0120","intersezioni","49.9999999999009","II0120","SENS","67","5035828.12871002","2311463.94237378","[00232, 00155]","[00155SC0002, 00155SC0007, 00155SC0008]"
"II0125","intersezioni","49.9999999999276","II0125","MISE","52","5035788.96541831","2311385.14139246","[00101, 00232]","[00101SC0010, 00101SC0011, 00101SC0014]"
"II0130","intersezioni","49.9999999999285","II0130","CMIS","188","5035778.16726792","2311676.29106264","[00232]","[]"
"II0135","intersezioni","50.0000000000806","II0135","SERV","63","5035775.05780055","2311204.03767204","[00119, 00232]","[00119SC0006, 00119SC0009, 00119SC0015]"
"II0140","intersezioni","50.0000000004197","II0140","CREA","76","5035766.36928881","2310265.22903601","[00346, 00232, II498, II504]","[00346SC0017, 00346SC0020]"
"II0145","intersezioni","49.9999999998108","II0145","GRIM","38","5035749.92210605","2311360.89747398","[00119, 00232]","[00119SC0002, 00119SC0011]"
"II0150","intersezioni","50.0000000003452","II0150","MARC","1","5035733.7848702","2311187.93278335","[]","[]"
"II0155","intersezioni","49.9999999999243","II0155","CANN","5","5035732.05516648","2310857.34963751","[]","[]"
"II0160","intersezioni","50.0000000000871","II0160","","61","5035710.85879721","2311330.19675681","[00119, 00232]","[00119SC0002, 00119SC0012, 00119SC0015]"
"II0165","intersezioni","49.9999999996579","II0165","FOSC","142","5035697.27112465","2311343.42371099","[00119, 00232]","[00119SC0004, 00119SC0012]"
"II0170","intersezioni","50.0000000001068","II0170","CMIS","338","5035699.41075815","2311607.9792869","[00232, 00393]","[]"
"II0180","intersezioni","49.9999999997255","II0180","MADA","1","5035679.39418679","2311314.10836057","[]","[]"
"II0185","intersezioni","49.9999999998031","II0185","CREA","2","5035673.03527602","2310419.77164721","[]","[]"
"II0190","intersezioni","49.9999999999249","II0190","CMIS","23","5035663.34693553","2311580.10702688","[]","[]"
"II0195","intersezioni","49.99999999996","II0195","CATE","38","5035664.01682078","2311670.799073","[00346, 00232, 00189, II502]","[00346SC0006, 00346SC0011, 00346SC0015, 00189SC0005, 00189SC0006, 00189SC0020]"
"II0200","intersezioni","49.9999999998567","II0200","MARC","1","5035650.43914651","2311136.32787116","[]","[]"
"II0205","intersezioni","49.9999999998743","II0205","NOAL","183","5035641.47068272","2311534.80223498","[00232, 00393]","[]"
"II0210","intersezioni","49.9999999999391","II0210","NOAL","101","5035627.23312147","2311500.25877425","[00232]","[]"
"II0215","intersezioni","49.9999999997771","II0215","CATE","84","5035621.87403943","2311760.7572046","[00346, 00232, 00189, II502]","[00346SC0008, 00346SC0010, 00346SC0015, 00189SC0006, 00189SC0007, 00189SC0010, 00189SC0015]"
"II0225","intersezioni","50.0000000002354","II0225","RACH","40","5035603.91711528","2311621.1732562","[00320, 00112, 00232, 00448]","[00320SC0006, 00320SC0007, 00320SC0032, 00112SC0011, 00112SC0019, 00448SC0001, 00448SC0002, 00448SC0003]"
"II0230","intersezioni","49.9999999998908","II0230","NOAL","129","5035595.92848365","2311455.80334413","[00232]","[]"
"II0235","intersezioni","84.7196493669052","II0235","GRAN","14","5035591.32428773","2310909.63461876","[]","[]"
"II0240","intersezioni","66.7402159561151","II0240","GRAN","5","5035592.36409707","2310989.67685246","[]","[]"
"II0245","intersezioni","69.641026946535","II0245","GRAN","7","5035579.88623523","2311123.64922769","[]","[]"
