"id","Title","wiki_title","Job Item Ids","Ismar Link Ids","GIS Id","Alternate IDs","Minimum Width (m)","Location-lon","Location-lat","GIS Total Id","Area (m^2)","Average Width (m)","Length (m)","Canal ID","Cemented"
"TROV3","Segment TROV3","Segment TROV3","00009SC0084,00107SC0005","2019","TROV3","TROV03","13.0","12.3257314","45.4298393","TROV03","708.794","14.6","48.7","TROV","false"
"ORSE","Segment ORSE","Segment ORSE","","2501","ORSE","ORSE01","4.0","12.3366547","45.4344333","ORSE01","1140.17","9.5","120.11","ORSE","true"
"ANZO2","Segment ANZO2","Segment ANZO2","00108SC0002,00108SC0008","2021","ANZO2","ANZO02","3.0","12.3319486","45.4337561","ANZO02","176.823","5.2","34.22","ANZO","false"
"TEDE","Segment TEDE","Segment TEDE","00103SC0003,00103SC0031","2370,2371","TEDE","TEDE1,TEDE01","5.6","12.337165","45.4384347","TEDE01","875.784","7.9","110.39","TEDE","false"
"VERG2","Segment VERG2","Segment VERG2","","2097","VERG2","VERG02","9.2","12.3576946","45.4349502","VERG02","863.452","12.1","71.2","VERG","false"
"LUST","Segment LUST","Segment LUST","00155SC0001,00155SC0005,00155SC0006","2024","LUST","LUST01","4.4","12.3301808","45.4454201","LUST01","435.68","5.7","76.29","LUST","false"
"VERG1","Segment VERG1","Segment VERG1","","2096","VERG1","VERG01","9.6","12.3568989","45.4352769","VERG01","894.084","15.5","57.5","VERG","false"
"GRIM1","Segment GRIM1","Segment GRIM1","00119SC0002,00119SC0011","2043","GRIM1","GRIM01","4.0","12.3321912","45.4440955","GRIM01","183.626","4.9","37.56","GRIM","false"
"GRIM2","Segment GRIM2","Segment GRIM2","00119SC0002,00119SC0011,00119SC0012,00119SC0015","2044","GRIM2","GRIM02","5.0","12.3319117","45.4437593","GRIM02","276.603","6.6","42.18","GRIM","false"
"GIOR1","Segment GIOR1","Segment GIOR1","","3098","GIOR1","GIOR01","42.6","12.3422134","45.4277701","GIOR01","12723.48","60.6","210.05","GIOR","false"
"GIOR2","Segment GIOR2","Segment GIOR2","","3100","GIOR2","GIOR02","60.0","12.3418684","45.425999","GIOR02","13146.61","65.6","200.33","GIOR","false"
"ZUAN","Segment ZUAN","Segment ZUAN","00102SC0008,00102SC0009,00102SC0018,00102SC0019,00102SC0022","2205,2206","ZUAN","ZUAN01","3.8","12.3250456","45.4386543","ZUAN01","1206.27","5.5","218.09","ZUAN","false"
"GOZZ","Segment GOZZ","Segment GOZZ","00003SC0043,00189SC0001,00189SC0008,00189SC0009,00189SC0010,00189SC0017,00189SC0018","2057","GOZZ","GOZZ01","4.8","12.3380177","45.4421126","GOZZ01","1170.98","7.2","163.49","GOZZ","false"
"CHIA1","Segment CHIA1","Segment CHIA1","","2196,2197","CHIA1","CHIA01","18.8","12.316539","45.4393684","CHIA01","5866.43","27.4","214.33","CHIA","false"
"PIOM1","Segment PIOM1","Segment PIOM1","00103SC0007,00103SC0008,00103SC0010,00103SC0030,00103SC0107,00103SC0108","2067","PIOM1","PIOM01","2.8","12.3398911","45.4382113","PIOM01","377.98","3.9","97.17","PIOM","false"
"CHIA2","Segment CHIA2","Segment CHIA2","","2198","CHIA2","CHIA02","34.0","12.3151707","45.4383079","CHIA02","4883.01","40.7","120.13","CHIA","false"
"PIOM2","Segment PIOM2","Segment PIOM2","00103SC0006,00103SC0029,00103SC0030,00103SC0107","2154,2155,2156,2374","PIOM2","PIOM02","1.8","12.338744","45.4378781","PIOM02","798.343","4.5","175.52","PIOM","false"
"TREP3","Segment TREP3","Segment TREP3","II473SC0001,II473SC0003,II473SC0006,II473SC0010,II473SC0013,II473SC0014","2011","TREP3","TREP03","11.2","12.320509","45.4353102","TREP03","476.602","13.0","36.7","TREP","false"
"TREP2","Segment TREP2","Segment TREP2","II473SC0002,II473SC0003,II473SC0009,II473SC0011,II473SC0013","2012","TREP2","TREP02","8.2","12.3203648","45.4357788","TREP02","539.745","10.5","51.37","TREP","false"
"TREP1","Segment TREP1","Segment TREP1","II473SC0002,II473SC0008,II473SC0011","2009","TREP1","TREP01","10.0","12.3202557","45.4361415","TREP01","137.984","10.6","13.04","TREP","false"
"SECO01","Segment SECO01","Segment SECO01","","",,,,"12.3179993","45.4473419","SECO01","6041.37","68.73","87.9","SECO",
"ZIRA1","Segment ZIRA1","Segment ZIRA1","","2192","ZIRA1","ZIRA01","6.2","12.3195073","45.437181","ZIRA01","404.316","7.0","57.68","ZIRA","false"
"WIDM3","Segment WIDM3","Segment WIDM3","00180SC0002,00180SC0003,00180SC0006","2179,2180","WIDM3","WIDM03","4.8","12.3396866","45.4396597","WIDM03","247.324","7.2","34.25","WIDM","false"
"ZIRA2","Segment ZIRA2","Segment ZIRA2","","2186","ZIRA2","ZIRA02","8.1","12.3158064","45.4368856","ZIRA02","565.458","8.6","65.61","ZIRA","false"
"WIDM1","Segment WIDM1","Segment WIDM1","00180SC0004,00180SC0005","2500","WIDM1","WIDM01","4.8","12.339249","45.4405049","WIDM01","782.408","6.8","114.93","WIDM","false"
"WIDM2","Segment WIDM2","Segment WIDM2","00180SC0004,00180SC0005","2505","WIDM2","WIDM02","5.6","12.3395533","45.4399744","WIDM02","157.112","7.0","22.26","WIDM","false"
"CASS2","Segment CASS2","Segment CASS2","00320SC0017,00320SC0018,00320SC0019,00320SC0020,00320SC0029,00187SC0005,00187SC0006,00187SC0007,00187SC0008,00187SC0013","2324","CASS2","CASS02","4.0","12.3306018","45.4384947","CASS02","309.273","4.9","62.59","CASS","false"
"MADA2","Segment MADA2","Segment MADA2","00003SC0040,00003SC0095,00119SC0004","2396,2397,2415","MADA2","MADA02","4.0","12.3316048","45.4426595","MADA02","1231.21","6.0","203.6","MADA","false"
"MADA1","Segment MADA1","Segment MADA1","00003SC0040,00003SC0095,00119SC0004,00119SC0012","2395","MADA1","MADA01","5.8","12.3316926","45.4433526","MADA01","252.988","10.2","24.72","MADA","false"
"CASS1","Segment CASS1","Segment CASS1","00320SC0017,00320SC0018,00187SC0005,00187SC0006","2339,2340","CASS1","CASS01","3.2","12.3316922","45.4396344","CASS01","1264.35","5.0","251.9","CASS","false"
"2TOR1","Segment 2TOR1","Segment 2TOR1","00003SC0072,00114SC0002,00114SC0008,00114SC0009,00114SC0011,00114SC0012,00187SC0007","2361","2TOR1","2TOR01","5.4","12.3299143","45.4387999","2TOR01","107.022","5.8","18.39","2TOR","false"
"2TOR2","Segment 2TOR2","Segment 2TOR2","00102SC0001,00102SC0002,00102SC0021,00187SC0007","2321","2TOR2","2TOR02","3.6","12.3294686","45.4386272","2TOR02","291.769","5.9","49.32","2TOR","false"
"QUIN","Segment QUIN","Segment QUIN","00412SC0001","2100","QUIN","QUIN01","12.8","12.3607176","45.432671","QUIN01","6781.81","34.6","195.88","QUIN","false"
"TEOD02","Segment TEOD02","Segment TEOD02","","",,,"5.9",,,,"2211.88","20.8","106.28","TEOD","false"
"ROMI","Segment ROMI","Segment ROMI","00106SC0001,00106SC0003","2120,2121,2221","ROMI","ROMI01","4.8","12.3245896","45.4315411","ROMI01","1254.14","7.1","176.92","ROMI","false"
"PARM01","Segment PARM01","Segment PARM01","","",,,"6.1",,,,"1417.38","6.9","204.36","PARM","false"
"TEOD01","Segment TEOD01","Segment TEOD01","","",,,"7.5",,,,"1155.52","12.4","92.95","TEOD","false"
"SEBA","Segment SEBA","Segment SEBA","00219SC0003,00219SC0005,00219SC0010,00219SC0015","2115,2116","SEBA","SEBA01","8.4","12.320337","45.4318982","SEBA01","2764.92","10.8","256.99","SEBA","false"
"CAFO1","Segment CAFO1","Segment CAFO1","00009SC0125,00009SC0132,00009SC0133","2014","CAFO1","CAFO01","7.6","12.3237254","45.4354815","CAFO01","659.861","11.4","57.71","CAFO","false"
"CAFO2","Segment CAFO2","Segment CAFO2","00009SC0126,00009SC0133","2125,2233","CAFO2","CAFO02","9.8","12.3255299","45.4349494","CAFO02","3493.03","14.7","237.05","CAFO","true"
"VIO","Segment VIO","Segment VIO","00009SC0082,00120SC0001","2259,2260,2279","VIO","VIO001","5.8","12.3294443","45.430016","VIO001","2353.67","8.8","267.64","VIO","false"
"NOVO1","Segment NOVO1","Segment NOVO1","00009SC0078","2193,2194","NOVO1","NOVO01","15.4","12.3199861","45.4379095","NOVO01","3297.04","19.3","170.77","NOVO","false"
"OGNI2","Segment OGNI2","Segment OGNI2","00107SC0004","2017","OGNI2","OGNI02","7.2","12.3239411","45.430833","OGNI02","596.191","12.2","49.02","OGNI","false"
"OGNI1","Segment OGNI1","Segment OGNI1","00107SC0003,00107SC0004","2118,2119","OGNI1","OGNI01","5.4","12.3224938","45.4313129","OGNI01","1636.05","8.4","193.84","OGNI","false"
"CREA2","Segment CREA2","Segment CREA2","00009SC0113,00009SC0114,00346SC0016,00346SC0017,00346SC0020","2444","CREA2","CREA02","5.8","12.3190993","45.4431078","CREA02","2031.59","9.7","208.93","CREA","false"
"VIN","Segment VIN","Segment VIN","00431SC0001,00431SC0002,00431SC0004","2146,2147,2148","VIN","VIN001","1.6","12.3422965","45.4346028","VIN001","1351.29","5.8","232.2","VIN","false"
"GIUS","Segment GIUS","Segment GIUS","00104SC0008,00104SC0010","2091","GIUS","GIUS01","9.2","12.3459418","45.4389574","GIUS01","3395.14","15.1","225.5","GIUS","false"
"CREA1","Segment CREA1","Segment CREA1","00346SC0016,00346SC0017,00009SC0113,00009SC0114","2436,2437,2438,2439","CREA1","CREA01","3.6","12.3208131","45.4439869","CREA01","1496.24","5.6","266.87","CREA","false"
"MAVA01","Segment MAVA01","Segment MAVA01","","",,,"3.8",,,,"2146.1","9.9",,"MAVA","false"
"CREA3","Segment CREA3","Segment CREA3","00346SC0020,00009SC0093","2443","CREA3","CREA03","7.6","12.3175915","45.4440863","CREA03","1125.32","11.9","94.36","CREA","false"
"DEM101","Segment DEM101","Segment DEM101","","",,,"17.3",,,,"740.586","18.9","39.3","DEM1","false"
"NOVO3","Segment NOVO3","Segment NOVO3","00009SC0077,00009SC0079,00009SC0107,II473SC0008","2215","NOVO3","NOVO03","16.0","12.320287","45.436383","NOVO03","971.659","28.8","33.74","NOVO","false"
"NOVO2","Segment NOVO2","Segment NOVO2","00009SC0079,00009SC0107","2210","NOVO2","NOVO02","18.2","12.3201393","45.4367646","NOVO02","1166.43","21.8","53.47","NOVO","false"
"NOVO4","Segment NOVO4","Segment NOVO4","00009SC0077,00009SC0107,00009SC0132,II473SC0008","2104,2105","NOVO4","NOVO04","11.4","12.3217363","45.4358069","NOVO04","3522.17","14.9","236.28","NOVO","false"
"ONGA01","Segment ONGA01","Segment ONGA01","","",,,"9.6",,,,"6004.48","18.2","329.02","ONGA","false"
"GRAN8","Segment GRAN8","Segment GRAN8","","2382","GRAN8","GRAN08","30.0","12.3282508","45.4423929","GRAN08","6499.38","47.8","135.91","GRAN","false"
"GRAN9","Segment GRAN9","Segment GRAN9","","2381","GRAN9","GRAN09","40.8","12.3294788","45.4422492","GRAN09","2843.98","46.6","60.96","GRAN","false"
"GRAN3","Segment GRAN3","Segment GRAN3","","2201","GRAN3","GRAN03","36.2","12.3202294","45.4390906","GRAN03","3498.94","42.6","82.2","GRAN","false"
"GRAN2","Segment GRAN2","Segment GRAN2","","2195","GRAN2","GRAN02","41.8","12.3188053","45.439427","GRAN02","15761.78","79.0","199.46","GRAN","false"
"DUCA","Segment DUCA","Segment DUCA","00003SC0067,00108SC0004","2245,2246,2247,2248,2249","DUCA","DUCA01","2.4","12.3292218","45.4327274","DUCA01","1561.83","4.6","337.62","DUCA","false"
"SCOA2","Segment SCOA2","Segment SCOA2","","2077","SCOA2","SCOA02","7.0","12.3361178","45.4350339","SCOA02","208.299","8.1","25.61","SCOA","false"
"TASS01","Segment TASS01","Segment TASS01","","",,,"8.6",,,,"2892.57","12.7","228.08","TASS","false"
"GRAN1","Segment GRAN1","Segment GRAN1","","2199,2200","GRAN1","GRAN01","44.6","12.3168918","45.4413632","GRAN01","28096.82","77.4","362.88","GRAN","false"
"CANN1","Segment CANN1","Segment CANN1","","2434","CANN1","CANN01","20.4","12.3195191","45.4463114","CANN01","4908.8","23.7","207.38","CANN","false"
"GRAN7","Segment GRAN7","Segment GRAN7","","2383","GRAN7","GRAN07","46.6","12.3268741","45.4423953","GRAN07","4158.44","56.6","73.44","GRAN","false"
"CANN3","Segment CANN3","Segment CANN3","","2431,2432","CANN3","CANN03","16.2","12.3236284","45.4445286","CANN03","7152.76","20.3","352.46","CANN","false"
"GRAN6","Segment GRAN6","Segment GRAN6","","2384","GRAN6","GRAN06","39.2","12.3253301","45.4420472","GRAN06","9526.99","49.2","193.73","GRAN","false"
"CANN2","Segment CANN2","Segment CANN2","","2433","CANN2","CANN02","22.2","12.3211033","45.4453877","CANN02","2401.18","24.8","96.77","CANN","false"
"GRAN5","Segment GRAN5","Segment GRAN5","","2385","GRAN5","GRAN05","40.6","12.3236168","45.4414956","GRAN05","3983.99","43.7","91.2","GRAN","false"
"GRAN4","Segment GRAN4","Segment GRAN4","","2496,2497","GRAN4","GRAN04","34.0","12.321726","45.4403561","GRAN04","14249.51","48.1","296.11","GRAN","false"
"CANN4","Segment CANN4","Segment CANN4","","2388,2389","CANN4","CANN04","14.8","12.3258678","45.4430636","CANN04","2589.12","20.7","124.92","CANN","false"
"ANDR2","Segment ANDR2","Segment ANDR2","00003SC0042,00112SC0006,00112SC0012,00112SC0016,00448SC0004,00448SC0005,00189SC0010,00189SC0017","2048","ANDR2","ANDR02","7.0","12.3365832","45.4423477","ANDR02","309.772","8.3","37.32","ANDR","false"
"ANDR1","Segment ANDR1","Segment ANDR1","00003SC0041,00112SC0006,00112SC0011,00112SC0016,00112SC0019,00448SC0001,00448SC0002,00448SC0003,00448SC0004","2049","ANDR1","ANDR01","6.2","12.335899","45.4425217","ANDR01","567.635","7.9","72.11","ANDR","false"
"PONT01","Segment PONT01","Segment PONT01","00303SC0004,00303SC0005,00367SC0001,00367SC0002,00367SC0003,00367SC0004","",,,"4.8",,,,"1505.86","8.3","181.68","PONT","false"
"MARI2","Segment MARI2","Segment MARI2","00103SC0007,00103SC0008,00103SC0101,00103SC0108","2059","MARI2","MARI02","9.0","12.3399426","45.4386735","MARI02","180.108","11.3","16.03","MARI","false"
"MARI1","Segment MARI1","Segment MARI1","00103SC0001,00103SC0003,00103SC0009,00103SC0101,00103SC0109","2490","MARI1","MARI01","6.4","12.3392307","45.4388338","MARI01","769.749","8.9","86.47","MARI","false"
"CMIS2","Segment CMIS2","Segment CMIS2","","2035","CMIS2","CMIS02","16.6","12.3356291","45.4438743","CMIS02","2235.0","23.8","94.11","CMIS","false"
"CMIS3","Segment CMIS3","Segment CMIS3","","2037","CMIS3","CMIS03","1.2","12.3350627","45.4433473","CMIS03","1329.34","33.9","39.22","CMIS","false"
"CMIS1","Segment CMIS1","Segment CMIS1","","","CMIS1","CMIS01","14.6","12.3364259","45.4447486","CMIS01","1600.86","14.9","107.19","CMIS","false"
"MARI4","Segment MARI4","Segment MARI4","00103SC0011,00103SC0012,00103SC0102,00103SC0103","2061","MARI4","MARI04","16.8","12.3408214","45.4384981","MARI04","405.743","18.9","21.52","MARI","false"
"TERE1","Segment TERE1","Segment TERE1","00325SC0001","2218","TERE1","TERE01","16.8","12.3164034","45.4343209","TERE01","1428.95","22.1","64.69","TERE","false"
"MARI3","Segment MARI3","Segment MARI3","00103SC0007,00103SC0010,00103SC0102,00103SC0108","2058","MARI3","MARI03","9.2","12.3403547","45.4385883","MARI03","450.478","11.2","40.11","MARI","false"
"SCOA1","Segment SCOA1","Segment SCOA1","","2134,2135","SCOA1","SCOA01","4.4","12.336482","45.4354154","SCOA01","630.938","6.3","99.59","SCOA","false"
"TERE2","Segment TERE2","Segment TERE2","00325SC0001,00366SC0001","2110,2219","TERE2","TERE02","7.2","12.3168682","45.4336104","TERE02","1941.93","12.7","153.02","TERE","false"
"PANT","Segment PANT","Segment PANT","00102SC0010,00102SC0011,00102SC0024","2022","PANT","PANT01","6.8","12.3243917","45.4360509","PANT01","1216.21","10.8","112.08","PANT","false"
"BACI01","Segment BACI01","Segment BACI01","","",,,,"12.3397509","45.4305261","BACI01","93212.02","340.69","273.6","BACI",
"BACI02","Segment BACI02","Segment BACI02","","",,,,"12.3401616","45.431703","BACI02","29737.48","432.86","68.7","BACI",
"BACI05","Segment BACI05","Segment BACI05","","",,,,"12.3445329","45.4318866","BACI05","88555.54","387.04","228.8","BACI",
"BACI06","Segment BACI06","Segment BACI06","","",,,,"12.3457384","45.4325977","BACI06","14510.44","325.35","44.6","BACI",
"BACI03","Segment BACI03","Segment BACI03","","",,,,"12.341133","45.4321265","BACI03","33438.22","347.23","96.3","BACI",
"DEMU01","Segment DEMU01","Segment DEMU01","","",,,"9.9",,,,"1437.62","11.0","131.12","DEMU","false"
"BACI04","Segment BACI04","Segment BACI04","","",,,,"12.342368","45.4321955","BACI04","26883.06","343.77","78.2","BACI",
"BACI09","Segment BACI09","Segment BACI09","","",,,,"12.3490014","45.4313956","BACI09","22902.81","263.55","86.9","BACI",
"BACI07","Segment BACI07","Segment BACI07","","",,,,"12.3469064","45.4325113","BACI07","35712.33","299.1","119.4","BACI",
"BACI08","Segment BACI08","Segment BACI08","","",,,,"12.3482181","45.4320757","BACI08","19071.14","294.31","64.8","BACI",
"FORN2","Segment FORN2","Segment FORN2","00130SC0001,00130SC0004","2273,2274","FORN2","FORN02","4.4","12.332775","45.4292153","FORN02","1468.94","8.7","168.65","FORN","false"
"PIER2","Segment PIER2","Segment PIER2","00413SC0004,00413SC0005","2098","PIER2","PIER02","32.4","12.3582578","45.4338172","PIER02","9544.91","45.7","208.62","PIER","false"
"FORN1","Segment FORN1","Segment FORN1","00130SC0001,00130SC0004","2272","FORN1","FORN01","3.4","12.3326264","45.430499","FORN01","489.257","4.7","104.28","FORN","false"
"PIER3","Segment PIER3","Segment PIER3","00413SC0005","2099","PIER3","PIER03","36.4","12.3587633","45.4324408","PIER03","5169.23","49.7","104.13","PIER","false"
"BURC","Segment BURC","Segment BURC","","2190,2191","BURC","BURC01","6.6","12.3179565","45.4366613","BURC01","2629.6","8.2","319.46","BURC","false"
"CALA02","Segment CALA02","Segment CALA02","","",,,,"12.3158272","45.4435607","CALA02","7257.87","36.44","199.2","CALA",
"GRAN40","Segment GRAN40","Segment GRAN40","","2282","GRAN40",,"68.4","12.3351825","45.4314658","GRAN40","13822.16","88.0","157.06","GRAN","false"
"CALA01","Segment CALA01","Segment CALA01","","",,,,"12.3170333","45.4456757","CALA01","14830.65","43.7","339.4","CALA",
"GRAN41","Segment GRAN41","Segment GRAN41","","2283","GRAN41",,"108.0","12.336507","45.4315328","GRAN41","7108.97","120.7","58.94","GRAN","false"
"CALA03","Segment CALA03","Segment CALA03","","",,,,"12.3142972","45.4426307","CALA03","13658.9","88.24","154.8","CALA",
"SCUO01","Segment SCUO01","Segment SCUO01","00371SC0001,00371SC0002,00371SC0003,00379SC0002","",,,"9.1",,,,"3249.34","10.3","316.53","SCUO","false"
"ROVI01","Segment ROVI01","Segment ROVI01","00371SC0007,00379SC0001","",,,"8.4",,,,"10842.49","11.4","948.45","ROVI","false"
"PIER1","Segment PIER1","Segment PIER1","00413SC0004,00413SC0005","2101","PIER1","PIER01","27.4","12.3588619","45.4351446","PIER01","6619.19","46.6","141.92","PIER","false"
"FORT01","Segment FORT01","Segment FORT01","","",,,"6.5",,,,"7270.57","11.3","645.8","FORT","false"
"FORT02","Segment FORT02","Segment FORT02","","",,,"9.7",,,,"4565.29","12.8","357.87","FORT","false"
"AGOS","Segment AGOS","Segment AGOS","00102SC0006,00102SC0007,00102SC0008,00102SC0012","2349","AGOS","AGOS01","6.4","12.3279461","45.4384343","AGOS01","1523.22","11.7","130.1","AGOS","false"
"GERO","Segment GERO","Segment GERO","","2163,2164","GERO","GERO01","7.0","12.3558427","45.4346559","GERO01","3671.32","10.8","341.17","GERO","false"
"ALBO","Segment ALBO","Segment ALBO","00099SC0008,00099SC0010","2284,2286","ALBO","ALBO01","4.6","12.3335197","45.4323214","ALBO01","1073.33","6.4","168.91","ALBO","true"
"NAVI02","Segment NAVI02","Segment NAVI02","","",,,,"12.3641652","45.437813","NAVI02","151845.99","315.56","481.2","NAVI",
"GRAN31","Segment GRAN31","Segment GRAN31","","2251","GRAN31",,"39.2","12.3280615","45.4321562","GRAN31","3432.77","47.9","71.65","GRAN","false"
"NAVI03","Segment NAVI03","Segment NAVI03","","",,,,"12.3614372","45.4360638","NAVI03","23130.05","458.02","50.5","NAVI",
"GRAN32","Segment GRAN32","Segment GRAN32","","2250","GRAN32",,"46.0","12.32857","45.4318598","GRAN32","1501.08","49.5","30.33","GRAN","false"
"NAVI04","Segment NAVI04","Segment NAVI04","","",,,,"12.3631169","45.4347397","NAVI04","92151.7","358.71","256.9","NAVI",
"NAVI05","Segment NAVI05","Segment NAVI05","","",,,,"12.3641697","45.4329651","NAVI05","42039.88","226.14","185.9","NAVI",
"GRAN30","Segment GRAN30","Segment GRAN30","","2252","GRAN30",,"40.4","12.3276231","45.4327266","GRAN30","4039.28","56.4","71.56","GRAN","false"
"NAVI06","Segment NAVI06","Segment NAVI06","","",,,,"12.3661331","45.4309308","NAVI06","68333.99","203.13","336.4","NAVI",
"NAVI07","Segment NAVI07","Segment NAVI07","","",,,,"12.3692272","45.4292001","NAVI07","91275.39","328.68","277.7","NAVI",
"GRAN39","Segment GRAN39","Segment GRAN39","","2281","GRAN39",,"61.2","12.3338814","45.4313432","GRAN39","2446.69","66.3","36.9","GRAN","false"
"LIO","Segment LIO","Segment LIO","00103SC0003,00103SC0009,00103SC0026,00103SC0031,00103SC0109","2373","LIO","LIO001","4.2","12.338212","45.438616","LIO001","675.966","7.6","89.31","LIO","false"
"GRAN37","Segment GRAN37","Segment GRAN37","","2270","GRAN37",,"65.8","12.3322933","45.4312488","GRAN37","2334.09","68.6","34.0","GRAN","false"
"SERV1","Segment SERV1","Segment SERV1","00119SC0009,00119SC0015","2042","SERV1","SERV01","6.2","12.3301929","45.4445124","SERV01","799.886","9.4","85.34","SERV","false"
"GRAN38","Segment GRAN38","Segment GRAN38","","2280","GRAN38",,"58.4","12.3330629","45.4312939","GRAN38","5971.95","67.3","88.71","GRAN","false"
"SERV2","Segment SERV2","Segment SERV2","00119SC0002,00119SC0006,00119SC0009,00119SC0015","2393","SERV2","SERV02","7.6","12.3309134","45.4438465","SERV02","1478.3","10.8","137.23","SERV","false"
"GRAN35","Segment GRAN35","Segment GRAN35","00120SC0001","2258","GRAN35",,"47.4","12.3299918","45.4313806","GRAN35","3391.23","55.3","61.3","GRAN","false"
"GRAN36","Segment GRAN36","Segment GRAN36","00120SC0001,00120SC0002","2271","GRAN36",,"48.8","12.3312196","45.4312329","GRAN36","8489.97","63.3","134.21","GRAN","false"
"GRAN33","Segment GRAN33","Segment GRAN33","00313SC0001,00313SC0002,00313SC0003,00313SC0004,00313SC0005","2255","GRAN33",,"45.0","12.328888","45.4316861","GRAN33","1627.02","51.8","31.37","GRAN","false"
"NAVI01","Segment NAVI01","Segment NAVI01","","",,,,"12.3660818","45.4405216","NAVI01","53583.9","260.5","205.7","NAVI",
"GRAN34","Segment GRAN34","Segment GRAN34","","2257","GRAN34",,"44.8","12.3293363","45.4315409","GRAN34","2298.86","50.2","45.79","GRAN","false"
"PALA","Segment PALA","Segment PALA","00154SC0005,00154SC0012","3033","PALA","PALA01","10.6","12.3273117","45.4248685","PALA01","2540.53","16.0","158.62","PALA","false"
"MORT","Segment MORT","Segment MORT","00003SC0116,00003SC0117,00346SC0009,00154SC0005,00154SC0016","3032","MORT","MORT01","4.6","12.3250481","45.4243728","MORT01","389.613","6.2","62.61","MORT","false"
"REAL","Segment REAL","Segment REAL","00006SC0063,00006SC0110,00006SC0111","2081","REAL","REAL01","5.0","12.3381104","45.4332264","REAL01","870.374","7.1","122.17","LUNA","false"
"GRAN20","Segment GRAN20","Segment GRAN20","00187SC0010","2332","GRAN20",,"47.4","12.3333341","45.4366879","GRAN20","8182.63","58.7","139.32","GRAN","false"
"POLO1","Segment POLO1","Segment POLO1","00102SC0002,00102SC0004,00102SC0006,00102SC0007,00102SC0021","2318","POLO1","POLO01","4.4","12.3287951","45.4382341","POLO01","505.713","5.9","86.09","POLO","false"
"GRAN21","Segment GRAN21","Segment GRAN21","00187SC0009,00187SC0010","2307","GRAN21",,"59.8","12.3318586","45.4362335","GRAN21","7308.08","65.0","112.38","GRAN","false"
"BOLD2","Segment BOLD2","Segment BOLD2","00114SC0001,00114SC0004,00114SC0007","2359","BOLD2","BOLD02","3.2","12.3291329","45.4394513","BOLD02","152.087","4.0","37.84","BOLD","false"
"BOLD1","Segment BOLD1","Segment BOLD1","00114SC0004,00114SC0006","2358","BOLD1","BOLD01","2.2","12.328793","45.4396361","BOLD01","84.8232","3.2","26.46","BOLD","false"
"BOLD3","Segment BOLD3","Segment BOLD3","00320SC0010,00114SC0002,00114SC0003,00114SC0007,00114SC0008,00114SC0011","2360","BOLD3","BOLD03","4.0","12.32968","45.4391042","BOLD03","380.203","5.6","67.53","BOLD","false"
"GRAN26","Segment GRAN26","Segment GRAN26","","2236","GRAN26",,"53.8","12.3281107","45.435144","GRAN26","4025.3","60.6","66.36","GRAN","false"
"GRAN27","Segment GRAN27","Segment GRAN27","","2235","GRAN27",,"47.4","12.3274866","45.4348436","GRAN27","2503.87","52.0","48.2","GRAN","false"
"GRAN28","Segment GRAN28","Segment GRAN28","","2234","GRAN28",,"34.0","12.3272206","45.4340964","GRAN28","7828.27","55.4","141.27","GRAN","false"
"GRAN29","Segment GRAN29","Segment GRAN29","","2253","GRAN29",,"52.8","12.3274049","45.4332373","GRAN29","3088.72","63.7","48.55","GRAN","false"
"GRAN22","Segment GRAN22","Segment GRAN22","00187SC0009","2306","GRAN22",,"66.8","12.3309112","45.4360258","GRAN22","2957.4","68.1","43.36","GRAN","false"
"MORO","Segment MORO","Segment MORO","00101SC0001,00101SC0003,00101SC0013","2421","MORO","MORO1,MORO01","17.4","12.3217223","45.4475793","MORO01","1731.72","21.4","80.75","MORO","false"
"GRAN23","Segment GRAN23","Segment GRAN23","","2305","GRAN23",,"65.2","12.3303645","45.4358499","GRAN23","3552.61","71.2","49.86","GRAN","false"
"GRAN24","Segment GRAN24","Segment GRAN24","","2304","GRAN24",,"68.7","12.3298186","45.4357138","GRAN24","3085.64","72.1","42.78","GRAN","false"
"GRAN25","Segment GRAN25","Segment GRAN25","","2237","GRAN25",,"54.2","12.3290637","45.4354329","GRAN25","5761.43","62.0","92.95","GRAN","false"
"BACI10","Segment BACI10","Segment BACI10","","",,,,"12.3513689","45.4302487","BACI10","87130.85","242.1","359.9","BACI",
"BACI11","Segment BACI11","Segment BACI11","","",,,,"12.354951","45.4281287","BACI11","99230.9","265.61","373.6","BACI",
"BACI12","Segment BACI12","Segment BACI12","","",,,,"12.3579805","45.4254519","BACI12","136254.64","379.01","359.5","BACI",
"BACI13","Segment BACI13","Segment BACI13","","",,,,"12.3604321","45.4224919","BACI13","247515.11","523.29","473.0","BACI",
"GORN","Segment GORN","Segment GORN","00115SC0002,00115SC0004,00115SC0008,00115SC0010,00115SC0011,00447SC0003,00447SC0005,00447SC0006,00447SC0007","2170,2171,2172","GORN","GORN01","2.8","12.3495459","45.4362663","GORN01","1973.09","6.4","307.82","GORN","false"
"GRAN19","Segment GRAN19","Segment GRAN19","","2333","GRAN19",,"43.4","12.3345634","45.4371471","GRAN19","4106.68","53.9","76.19","GRAN","false"
"BACI14","Segment BACI14","Segment BACI14","","",,,,"12.3655028","45.4224485","BACI14","127423.59","541.08","235.5","BACI",
