"id","Title","wiki_title","Job Item Ids","Ismar Link Ids","GIS Id","Alternate IDs","Minimum Width (m)","Location-lon","Location-lat","GIS Total Id","Area (m^2)","Average Width (m)","Length (m)","Canal ID","Cemented"
"VEMA05","Segment VEMA05","Segment VEMA05","","",,,,"12.3032118","45.4328404","VEMA05","118560.28","283.5","418.2","VEMA",
"VEMA06","Segment VEMA06","Segment VEMA06","","",,,,"12.3064974","45.4312243","VEMA06","99038.46","336.98","293.9","VEMA",
"OGNI3","Segment OGNI3","Segment OGNI3","00107SC0005,00107SC0010","2018","OGNI3","OGNI03","8.4","12.3250265","45.4304482","OGNI03","1925.79","13.8","139.52","OGNI","false"
"SANT","Segment SANT","Segment SANT","00320SC0008,00108SC0002,00108SC0008","2132,2261,2262","SANT","SANT01","3.8","12.3310782","45.4327891","SANT01","1596.39","5.8","275.27","SANT","false"
"CDON01","Segment CDON01","Segment CDON01","00003SC0120,00003SC0121","",,,"17.8",,,,"6344.0","25.6","247.94","CDON","false"
"ZANI","Segment ZANI","Segment ZANI","00103SC0016,00103SC0017,00103SC0115,00103SC0118,00431SC0001,00431SC0002,00431SC0004","2143,2144,2145","ZANI","ZANI01","3.4","12.3416569","45.4359311","ZANI01","892.432","4.4","202.82","ZANI","false"
"CDON02","Segment CDON02","Segment CDON02","00318SC0001,00319SC0001,00003SC0120,00003SC0121,00398SC0001,00398SC0002","",,,"14.1",,,,"8922.13","20.7","430.26","CDON","false"
"BECA2","Segment BECA2","Segment BECA2","00003SC0073,00003SC0074,00003SC0112,00187SC0001,00187SC0003,00187SC0004","2327","BECA2","BECA02","3.6","12.3318138","45.4382812","BECA02","74.3441","5.6","13.22","BECA","false"
"BECA1","Segment BECA1","Segment BECA1","00003SC0073,00003SC0074,00187SC0003,00187SC0004","2328,2329,2330,2331","BECA1","BECA01","2.6","12.3329512","45.4391448","BECA01","1089.27","4.5","241.24","BECA","false"
"DEGO3","Segment DEGO3","Segment DEGO3","00113SC0002,00113SC0006","2353","DEGO3","DEGO03","7.4","12.327161","45.4407721","DEGO03","61.5121","8.2","7.63","DEGO","false"
"DEGO4","Segment DEGO4","Segment DEGO4","00113SC0001,00113SC0002,00113SC0006","2351,2352","DEGO4","DEGO04","5.2","12.3270713","45.4398229","DEGO04","1736.88","8.4","207.21","DEGO","false"
"DEGO1","Segment DEGO1","Segment DEGO1","00113SC0002,00113SC0006","2387","DEGO1","DEGO01","4.4","12.3273744","45.4416576","DEGO01","748.506","6.5","115.44","DEGO","false"
"TPER01","Segment TPER01","Segment TPER01","","",,,"12.3",,,,"4704.4","13.6","346.23","TPER","false"
"DEGO2","Segment DEGO2","Segment DEGO2","00113SC0002,00113SC0006","2353","DEGO2","DEGO02","5.4","12.3272317","45.4409719","DEGO02","279.815","7.1","39.16","DEGO","false"
"PANA1","Segment PANA1","Segment PANA1","00180SC0001,00180SC0002","2449","PANA1","PANA01","8.6","12.3413589","45.4418381","PANA01","1400.42","11.7","119.72","PANA","false"
